species,distance,filename,rms,peak
Allens_Hummingbird,16,Allens_Hummingbird_16ft.wav,12831.511630698273,14470.0
Allens_Hummingbird,1,Allens_Hummingbird_1ft.wav,12846.858315179963,15560.0
Allens_Hummingbird,24,Allens_Hummingbird_24ft.wav,16579.821026640904,32564.0
Allens_Hummingbird,2,Allens_Hummingbird_2ft.wav,12850.449000846973,13782.0
Allens_Hummingbird,4,Allens_Hummingbird_4ft.wav,12838.368786547642,13906.0
Allens_Hummingbird,8,Allens_Hummingbird_8ft.wav,14602.526208051826,32564.0
American_Robin,16,American_Robin_16ft.wav,12834.188259176462,14944.0
American_Robin,1,American_Robin_1ft.wav,12937.858902858197,27190.0
American_Robin,24,American_Robin_24ft.wav,12835.14254023614,13994.0
American_Robin,2,American_Robin_2ft.wav,12874.13385975269,20874.0
American_Robin,4,American_Robin_4ft.wav,12874.044957403052,17580.0
American_Robin,8,American_Robin_8ft.wav,12863.734563929816,16088.0
Annas_Hummingbird,16,Annas_Hummingbird_16ft.wav,17289.966685131345,32564.0
Annas_Hummingbird,1,Annas_Hummingbird_1ft.wav,12875.9263172232,21262.0
Annas_Hummingbird,24,Annas_Hummingbird_24ft.wav,12835.610475153777,14022.0
Annas_Hummingbird,2,Annas_Hummingbird_2ft.wav,12859.94082620229,18318.0
Annas_Hummingbird,4,Annas_Hummingbird_4ft.wav,12854.7221072557,15458.0
Annas_Hummingbird,8,Annas_Hummingbird_8ft.wav,12834.240328192083,14652.0
Bewicks_Wren,16,Bewicks_Wren_16ft.wav,12835.301292634738,15178.0
Bewicks_Wren,1,Bewicks_Wren_1ft.wav,13013.673634149047,32724.0
Bewicks_Wren,24,Bewicks_Wren_24ft.wav,12833.310065182724,14444.0
Bewicks_Wren,2,Bewicks_Wren_2ft.wav,12899.680312888431,27868.0
Bewicks_Wren,4,Bewicks_Wren_4ft.wav,12888.926364727587,20444.0
Bewicks_Wren,8,Bewicks_Wren_8ft.wav,12863.366378641445,16874.0
Black_Phoebe,16,Black_Phoebe_16ft.wav,12832.789393881169,13744.0
Black_Phoebe,1,Black_Phoebe_1ft.wav,12884.635508488143,20612.0
Black_Phoebe,24,Black_Phoebe_24ft.wav,12834.844154399216,13876.0
Black_Phoebe,2,Black_Phoebe_2ft.wav,12856.29459935228,18314.0
Black_Phoebe,4,Black_Phoebe_4ft.wav,12844.529478939783,16040.0
Black_Phoebe,8,Black_Phoebe_8ft.wav,12839.70011978285,14568.0
Bushtit,16,Bushtit_16ft.wav,16739.8530247355,32563.0
Bushtit,1,Bushtit_1ft.wav,12851.497789556588,16116.0
Bushtit,24,Bushtit_24ft.wav,15911.928193813255,32563.0
Bushtit,2,Bushtit_2ft.wav,12840.922100712736,14224.0
Bushtit,4,Bushtit_4ft.wav,12855.84002374277,14306.0
Bushtit,8,Bushtit_8ft.wav,12849.01658096796,14158.0
California_ScrubJay,16,California_ScrubJay_16ft.wav,12837.221922198674,15022.0
California_ScrubJay,1,California_ScrubJay_1ft.wav,16897.51409701904,32590.0
California_ScrubJay,24,California_ScrubJay_24ft.wav,12831.10307731228,14074.0
California_ScrubJay,2,California_ScrubJay_2ft.wav,12855.229789158631,21178.0
California_ScrubJay,4,California_ScrubJay_4ft.wav,12855.19160925313,16744.0
California_ScrubJay,8,California_ScrubJay_8ft.wav,12833.789654551052,16352.0
California_Towhee,16,California_Towhee_16ft.wav,12830.384878189905,14238.0
California_Towhee,1,California_Towhee_1ft.wav,12898.8912586866,26136.0
California_Towhee,24,California_Towhee_24ft.wav,17396.65284606214,32565.0
California_Towhee,2,California_Towhee_2ft.wav,12858.788634948023,19542.0
California_Towhee,4,California_Towhee_4ft.wav,12853.534543632133,17334.0
California_Towhee,8,California_Towhee_8ft.wav,12831.947236138487,14722.0
Common_Raven,16,Common_Raven_16ft.wav,16557.159533119975,32566.0
Common_Raven,1,Common_Raven_1ft.wav,12974.099790789889,27252.0
Common_Raven,24,Common_Raven_24ft.wav,12829.761073146263,14160.0
Common_Raven,2,Common_Raven_2ft.wav,12886.240276079056,20700.0
Common_Raven,4,Common_Raven_4ft.wav,12850.289280028332,17236.0
Common_Raven,8,Common_Raven_8ft.wav,12843.401634656871,15414.0
Darkeyed_Junco,16,Darkeyed_Junco_16ft.wav,16906.591594322053,32569.0
Darkeyed_Junco,1,Darkeyed_Junco_1ft.wav,17866.958981433552,32755.0
Darkeyed_Junco,24,Darkeyed_Junco_24ft.wav,12839.132384124896,14436.0
Darkeyed_Junco,2,Darkeyed_Junco_2ft.wav,12927.322242517872,29262.0
Darkeyed_Junco,4,Darkeyed_Junco_4ft.wav,12858.767693079204,20904.0
Darkeyed_Junco,8,Darkeyed_Junco_8ft.wav,12869.19111171193,17736.0
Hooded_Oriole,16,Hooded_Oriole_16ft.wav,18279.117494674887,32570.0
Hooded_Oriole,1,Hooded_Oriole_1ft.wav,13003.547371476583,28468.0
Hooded_Oriole,24,Hooded_Oriole_24ft.wav,12833.796870539261,14198.0
Hooded_Oriole,2,Hooded_Oriole_2ft.wav,12903.23650549499,23634.0
Hooded_Oriole,4,Hooded_Oriole_4ft.wav,12876.502476364993,19564.0
Hooded_Oriole,8,Hooded_Oriole_8ft.wav,12843.525422469354,17156.0
House_Finch,16,House_Finch_16ft.wav,12845.392440507267,17086.0
House_Finch,1,House_Finch_1ft.wav,17114.701500530788,32761.0
House_Finch,24,House_Finch_24ft.wav,12833.389363101782,14340.0
House_Finch,2,House_Finch_2ft.wav,12941.277945393202,25092.0
House_Finch,4,House_Finch_4ft.wav,12876.239185075727,19738.0
House_Finch,8,House_Finch_8ft.wav,12857.175750203642,17258.0
House_Sparrow,16,House_Sparrow_16ft.wav,12839.388382395055,15416.0
House_Sparrow,1,House_Sparrow_1ft.wav,13048.806592581466,32268.0
House_Sparrow,24,House_Sparrow_24ft.wav,12831.568112301853,14130.0
House_Sparrow,2,House_Sparrow_2ft.wav,12904.872606590425,26818.0
House_Sparrow,4,House_Sparrow_4ft.wav,12865.76775888389,18958.0
House_Sparrow,8,House_Sparrow_8ft.wav,12854.804621858666,16966.0
Lesser_Goldfinch,16,Lesser_Goldfinch_16ft.wav,12832.475057865746,14154.0
Lesser_Goldfinch,1,Lesser_Goldfinch_1ft.wav,13124.417293081924,29224.0
Lesser_Goldfinch,24,Lesser_Goldfinch_24ft.wav,12832.054545240384,14342.0
Lesser_Goldfinch,2,Lesser_Goldfinch_2ft.wav,12934.0383042272,24030.0
Lesser_Goldfinch,4,Lesser_Goldfinch_4ft.wav,12860.905699076035,19078.0
Lesser_Goldfinch,8,Lesser_Goldfinch_8ft.wav,12856.312783029627,17256.0
Mourning_Dove,16,Mourning_Dove_16ft.wav,12839.186000830166,14620.0
Mourning_Dove,1,Mourning_Dove_1ft.wav,12883.238606934765,15540.0
Mourning_Dove,24,Mourning_Dove_24ft.wav,12829.889924521683,14284.0
Mourning_Dove,2,Mourning_Dove_2ft.wav,12880.905541528598,13910.0
Mourning_Dove,4,Mourning_Dove_4ft.wav,12872.772944290775,14490.0
Mourning_Dove,8,Mourning_Dove_8ft.wav,12874.010827113538,14458.0
Northern_Mockingbird,16,Northern_Mockingbird_16ft.wav,12845.86723588085,14852.0
Northern_Mockingbird,1,Northern_Mockingbird_1ft.wav,13037.338301403332,28018.0
Northern_Mockingbird,24,Northern_Mockingbird_24ft.wav,12837.189507278685,14226.0
Northern_Mockingbird,2,Northern_Mockingbird_2ft.wav,12896.450411158075,24044.0
Northern_Mockingbird,4,Northern_Mockingbird_4ft.wav,12876.044663301653,16476.0
Northern_Mockingbird,8,Northern_Mockingbird_8ft.wav,12866.002395722098,16402.0
Nuttalls_Woodpecker,16,Nuttalls_Woodpecker_16ft.wav,12835.100073744248,15860.0
Nuttalls_Woodpecker,1,Nuttalls_Woodpecker_1ft.wav,12962.277151803277,32334.0
Nuttalls_Woodpecker,24,Nuttalls_Woodpecker_24ft.wav,17932.675460173043,32566.0
Nuttalls_Woodpecker,2,Nuttalls_Woodpecker_2ft.wav,12891.225431541356,23374.0
Nuttalls_Woodpecker,4,Nuttalls_Woodpecker_4ft.wav,12860.606770158023,19816.0
Nuttalls_Woodpecker,8,Nuttalls_Woodpecker_8ft.wav,12837.61576694594,16794.0
Oak_Titmouse,16,Oak_Titmouse_16ft.wav,12830.780754512352,15366.0
