Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.4430,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Phylloscopus proregulus,Pallas's Leaf Warbler,0.0736,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Copsychus saularis,Oriental Magpie-Robin,0.0587,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus magellanicus,Hooded Siskin,0.0144,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0072,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Cinnyris jugularis,Olive-backed Sunbird,0.0052,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Turdus flavipes,Yellow-legged Thrush,0.0049,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Chloropsis hardwickii,Orange-bellied Leafbird,0.0043,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus xanthogastrus,Yellow-bellied Siskin,0.0042,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0041,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus pinus,Pine Siskin,0.0039,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus olivaceus,Olivaceous Siskin,0.0035,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Phylidonyris novaehollandiae,New Holland Honeyeater,0.0031,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Sicalis flaveola,Saffron Finch,0.0028,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Leptocoma zeylonica,Purple-rumped Sunbird,0.0025,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Zosterops japonicus,Warbling White-eye,0.0025,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Icterus spurius,Orchard Oriole,0.0024,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Motacilla maderaspatensis,White-browed Wagtail,0.0022,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus barbatus,Black-chinned Siskin,0.0019,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0017,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Phylloscopus proregulus,Pallas's Leaf Warbler,0.6538,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Motacilla maderaspatensis,White-browed Wagtail,0.1390,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Copsychus saularis,Oriental Magpie-Robin,0.0565,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Passerina amoena,Lazuli Bunting,0.0175,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Anthus hodgsoni,Olive-backed Pipit,0.0148,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Spinus psaltria,Lesser Goldfinch,0.0137,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Sayornis nigricans,Black Phoebe,0.0131,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Turdus flavipes,Yellow-legged Thrush,0.0115,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Sporophila nigricollis,Yellow-bellied Seedeater,0.0102,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Phoenicurus phoenicurus,Common Redstart,0.0095,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Sporophila caerulescens,Double-collared Seedeater,0.0090,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Passerina cyanea,Indigo Bunting,0.0078,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
3.0,6.0,Leptocoma zeylonica,Purple-rumped Sunbird,0.0066,Birdsongs Recordings\12ft\Lesser_Goldfinch_12ft.wav,-1,-1,-1,0.01
