Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.8609,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Amphispiza bilineata,Black-throated Sparrow,0.1658,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0579,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0038,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo erythrophthalmus,Eastern Towhee,0.0033,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Passerculus sandwichensis,Savannah Sparrow,0.0011,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Ammodramus humeralis,Grassland Sparrow,0.0009,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Spizella atrogularis,Black-chinned Sparrow,0.0008,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Peucaea carpalis,Rufous-winged Sparrow,0.0008,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0008,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Cistothorus platensis,Grass Wren,0.0007,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo chlorurus,Green-tailed Towhee,0.0006,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Carduelis carduelis,European Goldfinch,0.0005,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Peucaea aestivalis,Bachman's Sparrow,0.0004,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Chondestes grammacus,Lark Sparrow,0.0004,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0004,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga pinus,Pine Warbler,0.0003,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0003,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Chamaea fasciata,Wrentit,0.0003,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0003,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Falco columbarius,Merlin,0.0604,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Catharus bicknelli,Bicknell's Thrush,0.0295,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Parkesia motacilla,Louisiana Waterthrush,0.0268,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Pipilo erythrophthalmus,Eastern Towhee,0.0243,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Setophaga magnolia,Magnolia Warbler,0.0229,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Cardellina canadensis,Canada Warbler,0.0229,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Setophaga pinus,Pine Warbler,0.0207,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0199,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Empidonax flaviventris,Yellow-bellied Flycatcher,0.0160,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Setophaga coronata,Yellow-rumped Warbler,0.0136,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,-1,-1,-1,0.01
