Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Phacellodomus striaticollis,Freckle-breasted Thornbird,0.0428,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Quiscalus major,Boat-tailed Grackle,0.0285,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0241,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0126,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Quiscalus quiscula,Common Grackle,0.0123,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Sturnus vulgaris,European Starling,0.0103,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Sturnella magna,Eastern Meadowlark,0.0102,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Peucaea botterii,Botteri's Sparrow,0.0092,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Rallus elegans,King Rail,0.0084,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0084,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.0076,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Coccothraustes vespertinus,Evening Grosbeak,0.0076,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0072,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0070,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0069,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga pinus,Pine Warbler,0.0065,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Poecile atricapillus,Black-capped Chickadee,0.0064,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Loxia curvirostra,Red Crossbill,0.0063,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Cistothorus palustris,Marsh Wren,0.0060,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Buteo platypterus,Broad-winged Hawk,0.0060,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Sturnus vulgaris,European Starling,0.2909,Birdsongs Recordings\1ft\European_Starling_1ft.wav,-1,-1,-1,0.01
