Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.4919,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Toxostoma rufum,Brown Thrasher,0.0786,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Mimus saturninus,Chalk-browed Mockingbird,0.0326,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0293,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Mimus patagonicus,Patagonian Mockingbird,0.0170,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Melozone fusca,Canyon Towhee,0.0132,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Mimus gilvus,Tropical Mockingbird,0.0129,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Turdus mandarinus,Chinese Blackbird,0.0070,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0050,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0047,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Loxia leucoptera,White-winged Crossbill,0.0032,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0026,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Sitta neumayer,Western Rock Nuthatch,0.0026,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Loxia curvirostra,Red Crossbill,0.0018,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0017,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0015,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Machlolophus nuchalis,White-naped Tit,0.0013,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Chloris chloris,European Greenfinch,0.0012,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Surnia ulula,Northern Hawk Owl,0.0011,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Parus major,Great Tit,0.0010,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.5772,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Melozone fusca,Canyon Towhee,0.0479,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Mimus gilvus,Tropical Mockingbird,0.0357,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Turdus migratorius,American Robin,0.0142,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0134,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Toxostoma crissale,Crissal Thrasher,0.0079,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Toxostoma redivivum,California Thrasher,0.0048,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0048,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Mimus patagonicus,Patagonian Mockingbird,0.0047,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,-1,-1,-1,0.01
