Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.4381,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Chordeiles minor,Common Nighthawk,0.0743,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Scudderia furcata,Fork-tailed Bush Katydid,0.0528,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0425,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0397,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0248,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0237,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0219,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Vireo olivaceus,Red-eyed Vireo,0.0206,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Corvus brachyrhynchos,American Crow,0.0202,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Orchelimum agile,Agile Meadow Katydid,0.0157,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.0153,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Conocephalus brevipennis,Short-winged Meadow Katydid,0.0145,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0145,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Cyanocitta cristata,Blue Jay,0.0144,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Seiurus aurocapilla,Ovenbird,0.0143,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0138,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0102,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Myiarchus crinitus,Great Crested Flycatcher,0.0080,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0077,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
3.0,6.0,Setophaga petechia,Yellow Warbler,0.9617,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,-1,-1,-1,0.01
