Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Troglodytes aedon,House Wren,0.9771,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus barbatus,Black-chinned Siskin,0.0141,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Curruca curruca,Lesser Whitethroat,0.0069,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Parkesia motacilla,Louisiana Waterthrush,0.0049,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga pinus,Pine Warbler,0.0036,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0033,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Contopus virens,Eastern Wood-Pewee,0.0026,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Loxia leucoptera,White-winged Crossbill,0.0026,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga americana,Northern Parula,0.0025,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Protonotaria citrea,Prothonotary Warbler,0.0024,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Poecile carolinensis,Carolina Chickadee,0.0023,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0023,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0022,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Melanerpes lewis,Lewis's Woodpecker,0.0021,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Cistothorus palustris,Marsh Wren,0.0020,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0019,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Empidonax virescens,Acadian Flycatcher,0.0019,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
0.0,3.0,Meleagris gallopavo,Wild Turkey,0.0018,Birdsongs Recordings\24ft\Northern_House_Wren_24ft.wav,-1,-1,-1,0.01
