Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Haemorhous mexicanus,House Finch,0.7507,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Erithacus rubecula,European Robin,0.1754,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.1382,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Turdus iliacus,Redwing,0.0335,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Chloris chloris,European Greenfinch,0.0267,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Copsychus saularis,Oriental Magpie-Robin,0.0189,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Chloropsis hardwickii,Orange-bellied Leafbird,0.0114,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Icterus spurius,Orchard Oriole,0.0112,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Passerella iliaca,Fox Sparrow,0.0086,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Myiothlypis coronata,Russet-crowned Warbler,0.0073,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0069,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Plectrophenax nivalis,Snow Bunting,0.0050,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.0036,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.0035,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Oenanthe leucura,Black Wheatear,0.0034,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0031,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Haemorhous cassinii,Cassin's Finch,0.0028,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0026,Birdsongs Recordings\36ft\House_Finch_36ft.wav,-1,-1,-1,0.01
