Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Orthotomus ruficeps,Ashy Tailorbird,0.0467,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Myzomela rubratra,Micronesian Myzomela,0.0449,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.0267,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Orthotomus sutorius,Common Tailorbird,0.0266,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0236,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Vireo griseus,White-eyed Vireo,0.0226,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Microeca flavigaster,Lemon-bellied Flycatcher,0.0200,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Curruca curruca,Lesser Whitethroat,0.0160,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Rhipidura javanica,Malaysian Pied-Fantail,0.0143,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Saltator aurantiirostris,Golden-billed Saltator,0.0127,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Oporornis agilis,Connecticut Warbler,0.0110,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Oenanthe fusca,Brown Rock Chat,0.0110,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.0100,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,-1,-1,-1,0.01
