Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Setophaga cerulea,Cerulean Warbler,0.3605,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0927,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo chlorurus,Green-tailed Towhee,0.0535,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Ammodramus aurifrons,Yellow-browed Sparrow,0.0231,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga graciae,Grace's Warbler,0.0190,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0150,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0107,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Phylloscopus coronatus,Eastern Crowned Warbler,0.0098,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga caerulescens,Black-throated Blue Warbler,0.0088,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Leiothlypis virginiae,Virginia's Warbler,0.0085,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Junco phaeonotus,Yellow-eyed Junco,0.0069,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0067,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0066,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Troglodytes troglodytes,Eurasian Wren,0.0064,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Geothlypis tolmiei,MacGillivray's Warbler,0.0057,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Troglodytes pacificus,Pacific Wren,0.0053,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Phylloscopus xanthodryas,Japanese Leaf Warbler,0.0049,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Phoenicurus phoenicurus,Common Redstart,0.0046,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Helmitheros vermivorum,Worm-eating Warbler,0.0045,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
0.0,3.0,Erithacus rubecula,European Robin,0.0038,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.1384,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Prinia socialis,Ashy Prinia,0.1278,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Larvivora cyane,Siberian Blue Robin,0.1171,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Pipilo erythrophthalmus,Eastern Towhee,0.1068,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Phylloscopus griseolus,Sulphur-bellied Warbler,0.0260,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Euphonia xanthogaster,Orange-bellied Euphonia,0.0242,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Motacilla maderaspatensis,White-browed Wagtail,0.0199,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Otus bakkamoena,Indian Scops-Owl,0.0122,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Toxorhamphus novaeguineae,Yellow-bellied Longbill,0.0076,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Peucaea aestivalis,Bachman's Sparrow,0.0076,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
3.0,6.0,Erithacus rubecula,European Robin,0.0075,Birdsongs Recordings\48ft\Spotted_Towhee_48ft.wav,-1,-1,-1,0.01
