Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.9602,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Melospiza georgiana,Swamp Sparrow,0.0970,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0192,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga pinus,Pine Warbler,0.0060,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga palmarum,Palm Warbler,0.0019,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Emberiza cirlus,Cirl Bunting,0.0016,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga coronata,Yellow-rumped Warbler,0.0012,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Loxia leucoptera,White-winged Crossbill,0.0007,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Zonotrichia albicollis,White-throated Sparrow,0.0007,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0006,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0005,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Selasphorus sasin,Allen's Hummingbird,0.0005,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0005,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Certhia americana,Brown Creeper,0.0004,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0004,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Poecile atricapillus,Black-capped Chickadee,0.0003,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Leiothlypis ruficapilla,Nashville Warbler,0.0003,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Geothlypis trichas,Common Yellowthroat,0.0003,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0003,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0003,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Sayornis nigricans,Black Phoebe,0.4782,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.1415,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Sitta pygmaea,Pygmy Nuthatch,0.0642,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Emberiza hortulana,Ortolan Bunting,0.0247,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Tringa glareola,Wood Sandpiper,0.0152,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0124,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Cinnyris jugularis,Olive-backed Sunbird,0.0095,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Catherpes mexicanus,Canyon Wren,0.0075,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Sitta carolinensis,White-breasted Nuthatch,0.0067,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Ictinia mississippiensis,Mississippi Kite,0.0066,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Tyrannus couchii,Couch's Kingbird,0.0053,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Anthreptes malacensis,Brown-throated Sunbird,0.0049,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Nephelomyias lintoni,Orange-banded Flycatcher,0.0046,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Myzomela rubratra,Micronesian Myzomela,0.0043,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0043,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Empidonax hammondii,Hammond's Flycatcher,0.0038,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Atrichornis clamosus,Noisy Scrub-bird,0.0033,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Coccyzus minor,Mangrove Cuckoo,0.0031,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Tyrannus melancholicus,Tropical Kingbird,0.0030,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Selasphorus rufus,Rufous Hummingbird,0.0028,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
6.0,9.0,Junco hyemalis,Dark-eyed Junco,0.9830,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
6.0,9.0,Melospiza georgiana,Swamp Sparrow,0.0730,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
6.0,9.0,Spizella passerina,Chipping Sparrow,0.0205,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
6.0,9.0,Emberiza cirlus,Cirl Bunting,0.0115,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
6.0,9.0,Setophaga pinus,Pine Warbler,0.0046,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
6.0,9.0,Loxia leucoptera,White-winged Crossbill,0.0010,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
6.0,9.0,Zonotrichia albicollis,White-throated Sparrow,0.0008,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
6.0,9.0,Setophaga palmarum,Palm Warbler,0.0008,Birdsongs Recordings\4ft\Dark_eyed_Junco_4ft.wav,-1,-1,-1,0.01
