Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Baeolophus ridgwayi,Juniper Titmouse,0.9185,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.5834,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Melozone fusca,Canyon Towhee,0.0095,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Zonotrichia querula,Harris's Sparrow,0.0088,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Baeolophus wollweberi,Bridled Titmouse,0.0033,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Apalis thoracica,Bar-throated Apalis,0.0013,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0012,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Bradypterus lopezi,Evergreen-forest Warbler,0.0012,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Phylloscopus schwarzi,Radde's Warbler,0.0009,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Toxostoma crissale,Crissal Thrasher,0.0008,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0004,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Geothlypis formosa,Kentucky Warbler,0.0003,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Gymnoris dentata,Sahel Bush Sparrow,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Poecile hudsonicus,Boreal Chickadee,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Phylloscopus fuscatus,Dusky Warbler,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
0.0,3.0,Baeolophus bicolor,Tufted Titmouse,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.9986,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Baeolophus bicolor,Tufted Titmouse,0.0041,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0023,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Baeolophus ridgwayi,Juniper Titmouse,0.0022,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Melozone crissalis,California Towhee,0.0017,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0013,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Parus major,Great Tit,0.0010,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Melozone fusca,Canyon Towhee,0.0009,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Toxostoma rufum,Brown Thrasher,0.0005,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Vireo huttoni,Hutton's Vireo,0.0004,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Baeolophus atricristatus,Black-crested Titmouse,0.0004,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Aimophila rufescens,Rusty Sparrow,0.0003,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Poecile carolinensis,Carolina Chickadee,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Turdus migratorius,American Robin,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Pipilo erythrophthalmus,Eastern Towhee,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
3.0,6.0,Vireo solitarius,Blue-headed Vireo,0.0002,Birdsongs Recordings\4ft\Oak_Titmouse_4ft.wav,-1,-1,-1,0.01
