Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Melozone crissalis,California Towhee,0.9996,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0013,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0012,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Cardinalis sinuatus,Pyrrhuloxia,0.0009,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0007,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Accipiter cooperii,Cooper's Hawk,0.0006,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Melozone aberti,Abert's Towhee,0.0005,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0004,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0004,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Cranioleuca marcapatae,Marcapata Spinetail,0.0003,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Melozone albicollis,White-throated Towhee,0.0003,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Apus affinis,Little Swift,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Campephaga flava,Black Cuckooshrike,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Melozone fusca,Canyon Towhee,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Parkesia noveboracensis,Northern Waterthrush,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga citrina,Hooded Warbler,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Cardellina pusilla,Wilson's Warbler,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Zonotrichia atricapilla,Golden-crowned Sparrow,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Sayornis nigricans,Black Phoebe,0.4809,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.0792,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Ictinia mississippiensis,Mississippi Kite,0.0133,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Accipiter cooperii,Cooper's Hawk,0.0111,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0080,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Serpophaga cinerea,Torrent Tyrannulet,0.0076,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Lonchura punctulata,Scaly-breasted Munia,0.0058,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Halcyon pileata,Black-capped Kingfisher,0.0055,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Charadrius vociferus,Killdeer,0.0053,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.0036,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Tyrannus melancholicus,Tropical Kingbird,0.0034,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Sialia mexicana,Western Bluebird,0.0031,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0030,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Camptostoma obsoletum,Southern Beardless-Tyrannulet,0.0028,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Pyrocephalus rubinus,Vermilion Flycatcher,0.0026,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Mimus gundlachii,Bahama Mockingbird,0.0024,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0023,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Metopidius indicus,Bronze-winged Jacana,0.0021,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Cinnyris jugularis,Olive-backed Sunbird,0.0020,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
3.0,6.0,Accipiter badius,Shikra,0.0020,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Melozone crissalis,California Towhee,0.9931,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Melozone aberti,Abert's Towhee,0.0021,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Toxostoma redivivum,California Thrasher,0.0005,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0004,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Cardinalis sinuatus,Pyrrhuloxia,0.0003,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Pipilo maculatus,Spotted Towhee,0.0003,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Polioptila californica,California Gnatcatcher,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Accipiter cooperii,Cooper's Hawk,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Melozone albicollis,White-throated Towhee,0.0002,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Melozone fusca,Canyon Towhee,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Leiothlypis celata,Orange-crowned Warbler,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Aeronautes saxatalis,White-throated Swift,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Cyanomitra olivacea,Olive Sunbird,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Psaltriparus minimus,Bushtit,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Mimus polyglottos,Northern Mockingbird,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Aphelocoma californica,California Scrub-Jay,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Calypte anna,Anna's Hummingbird,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Baeolophus inornatus,Oak Titmouse,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
6.0,9.0,Piranga rubra,Summer Tanager,0.0001,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
9.0,10.0,Ornithion semiflavum,Yellow-bellied Tyrannulet,0.0731,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
9.0,10.0,Camptostoma obsoletum,Southern Beardless-Tyrannulet,0.0325,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
9.0,10.0,Accipiter cooperii,Cooper's Hawk,0.0307,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
9.0,10.0,Ictinia mississippiensis,Mississippi Kite,0.0279,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
9.0,10.0,Terenotriccus erythrurus,Ruddy-tailed Flycatcher,0.0261,Birdsongs Recordings\8ft\California_Towhee_8ft.wav,-1,-1,-1,0.01
