Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Passer domesticus,House Sparrow,0.1793,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Cercotrichas coryphoeus,Karoo Scrub-Robin,0.0475,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Passer italiae,Italian Sparrow,0.0433,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Luscinia svecica,Bluethroat,0.0404,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Emberiza schoeniclus,Reed Bunting,0.0102,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Passer montanus,Eurasian Tree Sparrow,0.0064,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Phrygilus patagonicus,Patagonian Sierra Finch,0.0041,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Ficedula hypoleuca,European Pied Flycatcher,0.0037,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Montifringilla nivalis,White-winged Snowfinch,0.0032,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Progne tapera,Brown-chested Martin,0.0021,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Passer melanurus,Cape Sparrow,0.0019,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Passer hispaniolensis,Spanish Sparrow,0.0017,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0013,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Lanius collurio,Red-backed Shrike,0.0013,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0013,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Phrygilus gayi,Gray-hooded Sierra Finch,0.0011,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.0010,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Phoenicurus ochruros,Black Redstart,0.0010,Birdsongs Recordings\8ft\House_Sparrow_8ft.wav,-1,-1,-1,0.01
