Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Haemorhous mexicanus,House Finch,0.0982,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.0635,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0364,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Caprimulgus affinis,Savanna Nightjar,0.0213,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Psittacula cyanocephala,Plum-headed Parakeet,0.0159,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Pyrilia pyrilia,Saffron-headed Parrot,0.0141,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Tyrannus couchii,Couch's Kingbird,0.0110,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Agapornis roseicollis,Rosy-faced Lovebird,0.0109,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Buteo lineatus,Red-shouldered Hawk,0.0104,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.0096,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Chordeiles minor,Common Nighthawk,0.0095,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Aphelocoma californica,California Scrub-Jay,0.0092,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Tyrannus crassirostris,Thick-billed Kingbird,0.0064,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,0.0063,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Turdus falcklandii,Austral Thrush,0.0061,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0060,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,-1,-1,-1,0.01
