Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Phacellodomus striaticollis,Freckle-breasted Thornbird,0.4246,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Buteo platypterus,Broad-winged Hawk,0.2969,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Euphagus carolinus,Rusty Blackbird,0.2959,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus migratorius,American Robin,0.1576,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Quiscalus major,Boat-tailed Grackle,0.0983,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Sarcops calvus,Coleto,0.0306,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Odocoileus virginianus,White-tailed Deer,0.0243,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0193,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga pinus,Pine Warbler,0.0183,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0166,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Quiscalus quiscula,Common Grackle,0.0146,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Dendronanthus indicus,Forest Wagtail,0.0126,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Icterus spurius,Orchard Oriole,0.0116,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Cyanocitta cristata,Blue Jay,0.0109,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Spizelloides arborea,American Tree Sparrow,0.0104,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0093,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0085,Birdsongs Recordings\12ft\European_Starling_12ft.wav,-1,-1,27,0.01
