Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Zenaida macroura,Mourning Dove,0.4292,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Leptotila verreauxi,White-tipped Dove,0.0886,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Ardenna pacifica,Wedge-tailed Shearwater,0.0650,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Sarothrura elegans,Buff-spotted Flufftail,0.0284,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Ketupa zeylonensis,Brown Fish-Owl,0.0078,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Ninox scutulata,Brown Boobook,0.0057,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Engine,Engine,0.0041,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Pterodroma sandwichensis,Hawaiian Petrel,0.0037,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Strix ocellata,Mottled Wood-Owl,0.0030,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Zenaida aurita,Zenaida Dove,0.0027,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Zenaida meloda,West Peruvian Dove,0.0026,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Streptopelia decaocto,Eurasian Collared-Dove,0.0022,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Zenaida asiatica,White-winged Dove,0.0020,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Gavia immer,Common Loon,0.0020,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Otus bakkamoena,Indian Scops-Owl,0.0019,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Bubo bubo,Eurasian Eagle-Owl,0.0018,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0017,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Asio otus,Long-eared Owl,0.0016,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Callipepla douglasii,Elegant Quail,0.0016,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
0.0,3.0,Megaceryle alcyon,Belted Kingfisher,0.0015,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
3.0,6.0,Zenaida macroura,Mourning Dove,0.9556,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
3.0,6.0,Streptopelia decaocto,Eurasian Collared-Dove,0.0205,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
3.0,6.0,Turtur abyssinicus,Black-billed Wood-Dove,0.0126,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
3.0,6.0,Sarothrura elegans,Buff-spotted Flufftail,0.0108,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
3.0,6.0,Zenaida aurita,Zenaida Dove,0.0030,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
3.0,6.0,Columba iriditorques,Bronze-naped Pigeon,0.0023,Birdsongs Recordings\12ft\Mourning_Dove_12ft.wav,-1,-1,27,0.01
