Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Baeolophus ridgwayi,Juniper Titmouse,0.1665,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0763,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Gymnoris dentata,Sahel Bush Sparrow,0.0127,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Prinia flaviventris,Yellow-bellied Prinia,0.0098,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Melozone fusca,Canyon Towhee,0.0087,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Zonotrichia querula,Harris's Sparrow,0.0043,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Apalis thoracica,Bar-throated Apalis,0.0027,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Prinia inornata,Plain Prinia,0.0017,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Engine,Engine,0.0017,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Motacilla maderaspatensis,White-browed Wagtail,0.0012,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Baeolophus wollweberi,Bridled Titmouse,0.0012,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Phylloscopus fuscatus,Dusky Warbler,0.0011,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Caprimulgus affinis,Savanna Nightjar,0.0009,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Vireo pallens,Mangrove Vireo,0.0009,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.0007,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Peucedramus taeniatus,Olive Warbler,0.0006,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0006,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Bradypterus lopezi,Evergreen-forest Warbler,0.0005,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0005,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
0.0,3.0,Orthotomus sutorius,Common Tailorbird,0.0005,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.9991,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0091,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0089,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
3.0,6.0,Poecile carolinensis,Carolina Chickadee,0.0073,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
3.0,6.0,Baeolophus ridgwayi,Juniper Titmouse,0.0059,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
3.0,6.0,Baeolophus bicolor,Tufted Titmouse,0.0059,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0018,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
3.0,6.0,Baeolophus atricristatus,Black-crested Titmouse,0.0017,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,-1,-1,27,0.01
