Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Calypte anna,Anna's Hummingbird,0.9936,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Coereba flaveola,Bananaquit,0.0040,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Passerculus sandwichensis,Savannah Sparrow,0.0013,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Calypte costae,Costa's Hummingbird,0.0012,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Phoenicurus ochruros,Black Redstart,0.0011,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Mohoua albicilla,Whitehead,0.0007,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Aegolius acadicus,Northern Saw-whet Owl,0.0006,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0006,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0006,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Strix occidentalis,Spotted Owl,0.0005,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Sicalis luteola,Grassland Yellow-Finch,0.0005,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0005,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0005,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Spiza americana,Dickcissel,0.0004,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Melanospiza bicolor,Black-faced Grassquit,0.0004,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Chionomesa lactea,Sapphire-spangled Emerald,0.0004,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Spizella pallida,Clay-colored Sparrow,0.0004,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Empidonax occidentalis,Cordilleran Flycatcher,0.0004,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Ammodramus aurifrons,Yellow-browed Sparrow,0.0003,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
0.0,3.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0003,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.9869,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Locustella fluviatilis,River Warbler,0.0099,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Phoenicurus ochruros,Black Redstart,0.0074,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0032,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Spizella pallida,Clay-colored Sparrow,0.0022,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.0020,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Mohoua albicilla,Whitehead,0.0015,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0014,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0014,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Icterus cucullatus,Hooded Oriole,0.0013,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Ammodramus aurifrons,Yellow-browed Sparrow,0.0012,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Spiza americana,Dickcissel,0.0011,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Sicalis luteola,Grassland Yellow-Finch,0.0011,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Vireo bellii,Bell's Vireo,0.0006,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Vireo gilvus,Warbling Vireo,0.0006,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Molothrus ater,Brown-headed Cowbird,0.0006,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Chamaea fasciata,Wrentit,0.0005,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Passerculus sandwichensis,Savannah Sparrow,0.0005,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Catherpes mexicanus,Canyon Wren,0.0004,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
3.0,6.0,Campylorhynchus brunneicapillus,Cactus Wren,0.0004,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
6.0,9.0,Calypte anna,Anna's Hummingbird,0.9953,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,-1,-1,27,0.01
