Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Haemorhous mexicanus,House Finch,0.5639,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Artemisiospiza nevadensis,Sagebrush Sparrow,0.0561,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0262,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Oenanthe leucura,Black Wheatear,0.0207,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Erithacus rubecula,European Robin,0.0144,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,0.0141,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Passerella iliaca,Fox Sparrow,0.0097,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Passerina caerulea,Blue Grosbeak,0.0094,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Plectrophenax nivalis,Snow Bunting,0.0094,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Mirafra cheniana,Latakoo Lark,0.0079,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Myiothlypis coronata,Russet-crowned Warbler,0.0074,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Engine,Engine,0.0067,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0065,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Pipilo erythrophthalmus,Eastern Towhee,0.0064,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Galerida theklae,Thekla's Lark,0.0054,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Icterus spurius,Orchard Oriole,0.0038,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Pinicola enucleator,Pine Grosbeak,0.0029,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Galerida deva,Tawny Lark,0.0029,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0029,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous cassinii,Cassin's Finch,0.0026,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.6925,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Passerina caerulea,Blue Grosbeak,0.0320,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Peucedramus taeniatus,Olive Warbler,0.0293,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Icterus galbula,Baltimore Oriole,0.0195,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Engine,Engine,0.0159,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0139,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.0127,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Myadestes townsendi,Townsend's Solitaire,0.0088,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Haemorhous cassinii,Cassin's Finch,0.0080,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus iliacus,Redwing,0.0066,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Siren,Siren,0.0055,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Dicrurus leucophaeus,Ashy Drongo,0.0042,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Carpodacus rubicilla,Great Rosefinch,0.0035,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Erithacus rubecula,European Robin,0.0029,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Human whistle,Human whistle,0.0028,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.0028,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Artemisiospiza nevadensis,Sagebrush Sparrow,0.0024,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Tarsiger cyanurus,Red-flanked Bluetail,0.0023,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Sturnella magna,Eastern Meadowlark,0.0023,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
3.0,6.0,Dicrurus macrocercus,Black Drongo,0.0023,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Haemorhous mexicanus,House Finch,0.6925,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Artemisiospiza nevadensis,Sagebrush Sparrow,0.0275,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Icterus spurius,Orchard Oriole,0.0259,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Haemorhous purpureus,Purple Finch,0.0255,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Passerella iliaca,Fox Sparrow,0.0186,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Erithacus rubecula,European Robin,0.0094,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Passerina caerulea,Blue Grosbeak,0.0069,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Haemorhous cassinii,Cassin's Finch,0.0066,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Plectrophenax nivalis,Snow Bunting,0.0045,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Pipilo erythrophthalmus,Eastern Towhee,0.0044,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Myadestes townsendi,Townsend's Solitaire,0.0042,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Myiothlypis coronata,Russet-crowned Warbler,0.0036,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Oenanthe leucura,Black Wheatear,0.0036,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Vireo gilvus,Warbling Vireo,0.0035,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Turdus iliacus,Redwing,0.0027,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Engine,Engine,0.0017,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0017,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Oenanthe fusca,Brown Rock Chat,0.0016,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Fringilla coelebs,Common Chaffinch,0.0015,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
6.0,9.0,Monticola solitarius,Blue Rock-Thrush,0.0013,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
9.0,10.0,Engine,Engine,0.0281,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
9.0,10.0,Siren,Siren,0.0063,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
9.0,10.0,Human vocal,Human vocal,0.0050,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
9.0,10.0,Scudderia furcata,Fork-tailed Bush Katydid,0.0048,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
9.0,10.0,Power tools,Power tools,0.0045,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
9.0,10.0,Serinus canaria,Island Canary,0.0045,Birdsongs Recordings\1ft\House_Finch_1ft.wav,-1,-1,27,0.01
