Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Troglodytes aedon,House Wren,0.9754,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus barbatus,Black-chinned Siskin,0.0076,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Melanerpes lewis,Lewis's Woodpecker,0.0056,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Cistothorus palustris,Marsh Wren,0.0037,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Curruca curruca,Lesser Whitethroat,0.0031,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous cassinii,Cassin's Finch,0.0027,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Loxia leucoptera,White-winged Crossbill,0.0027,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Dendragapus obscurus,Dusky Grouse,0.0025,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0024,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Fringilla coelebs,Common Chaffinch,0.0011,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Spiza americana,Dickcissel,0.0008,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Cistothorus platensis,Grass Wren,0.0007,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga kirtlandii,Kirtland's Warbler,0.0007,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Contopus sordidulus,Western Wood-Pewee,0.0007,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Sicalis olivascens,Greenish Yellow-Finch,0.0006,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Loxia sinesciuris,Cassia Crossbill,0.0006,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Protonotaria citrea,Prothonotary Warbler,0.0006,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Contopus virens,Eastern Wood-Pewee,0.0006,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga cerulea,Cerulean Warbler,0.0005,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0005,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.3107,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Cistothorus palustris,Marsh Wren,0.1221,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0804,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Cistothorus platensis,Grass Wren,0.0296,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Vireo bellii,Bell's Vireo,0.0137,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Melozone fusca,Canyon Towhee,0.0087,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Cistothorus stellaris,Sedge Wren,0.0086,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Basileuterus rufifrons,Rufous-capped Warbler,0.0061,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Baeolophus ridgwayi,Juniper Titmouse,0.0049,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0047,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Spiza americana,Dickcissel,0.0046,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Vireo flavoviridis,Yellow-green Vireo,0.0046,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0046,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Andropadus importunus,Sombre Greenbul,0.0042,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Vireo olivaceus,Red-eyed Vireo,0.0040,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Geothlypis formosa,Kentucky Warbler,0.0037,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Aimophila rufescens,Rusty Sparrow,0.0034,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Pipilo erythrophthalmus,Eastern Towhee,0.0034,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Caprimulgus affinis,Savanna Nightjar,0.0034,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0033,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
6.0,9.0,Troglodytes aedon,House Wren,0.9920,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0024,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
6.0,9.0,Melanerpes lewis,Lewis's Woodpecker,0.0024,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
6.0,9.0,Spinus tristis,American Goldfinch,0.0014,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
6.0,9.0,Dendragapus obscurus,Dusky Grouse,0.0014,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
6.0,9.0,Spinus barbatus,Black-chinned Siskin,0.0010,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
6.0,9.0,Contopus sordidulus,Western Wood-Pewee,0.0009,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
6.0,9.0,Curruca curruca,Lesser Whitethroat,0.0009,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
6.0,9.0,Cistothorus platensis,Grass Wren,0.0008,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,-1,-1,27,0.01
