Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.1784,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Sitta pygmaea,Pygmy Nuthatch,0.1193,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0546,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0542,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0516,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.0470,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0385,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0329,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Tyrannus couchii,Couch's Kingbird,0.0326,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Charadrius vociferus,Killdeer,0.0271,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Corvus brachyrhynchos,American Crow,0.0263,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Seiurus aurocapilla,Ovenbird,0.0223,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Apus melba,Alpine Swift,0.0192,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Chordeiles minor,Common Nighthawk,0.0174,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Engine,Engine,0.0172,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0154,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Limnodromus scolopaceus,Long-billed Dowitcher,0.0147,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0134,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Tringa glareola,Wood Sandpiper,0.0125,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
0.0,3.0,Megaceryle alcyon,Belted Kingfisher,0.0116,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.9159,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Melospiza georgiana,Swamp Sparrow,0.0088,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Rallus limicola,Virginia Rail,0.0063,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Passerculus sandwichensis,Savannah Sparrow,0.0052,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Agelaius phoeniceus,Red-winged Blackbird,0.0027,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0023,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Troglodytes pacificus,Pacific Wren,0.0021,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Pooecetes gramineus,Vesper Sparrow,0.0020,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Spizella pallida,Clay-colored Sparrow,0.0018,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Sayornis phoebe,Eastern Phoebe,0.0018,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Dryobates pubescens,Downy Woodpecker,0.0017,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Tyrannus tyrannus,Eastern Kingbird,0.0015,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Cistothorus palustris,Marsh Wren,0.0015,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Rallus elegans,King Rail,0.0015,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Cyanocitta cristata,Blue Jay,0.0015,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
3.0,6.0,Amphispiza bilineata,Black-throated Sparrow,0.0014,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,-1,-1,27,0.01
