Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Sayornis nigricans,Black Phoebe,0.9962,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.0400,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Scudderia texensis,Texas Bush Katydid,0.0061,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Scudderia furcata,Fork-tailed Bush Katydid,0.0052,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Accipiter cooperii,Cooper's Hawk,0.0047,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Engine,Engine,0.0044,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Conocephalus brevipennis,Short-winged Meadow Katydid,0.0038,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0025,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Alcedo atthis,Common Kingfisher,0.0020,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Tyrannus melancholicus,Tropical Kingbird,0.0018,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0017,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Sayornis saya,Say's Phoebe,0.0017,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Scolopax minor,American Woodcock,0.0016,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Charadrius vociferus,Killdeer,0.0016,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0015,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0014,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
0.0,3.0,Psaltriparus minimus,Bushtit,0.0014,Birdsongs Recordings\24ft\Black_Phoebe_24ft.wav,-1,-1,27,0.01
