Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.6723,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga pinus,Pine Warbler,0.3787,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0910,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Emberiza cirlus,Cirl Bunting,0.0602,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Melospiza georgiana,Swamp Sparrow,0.0489,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Seiurus aurocapilla,Ovenbird,0.0225,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga palmarum,Palm Warbler,0.0156,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga ruticilla,American Redstart,0.0149,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Baeolophus bicolor,Tufted Titmouse,0.0136,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Certhia americana,Brown Creeper,0.0125,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga coronata,Yellow-rumped Warbler,0.0121,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Loxia leucoptera,White-winged Crossbill,0.0104,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Poecile atricapillus,Black-capped Chickadee,0.0100,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0097,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0095,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0094,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Geothlypis trichas,Common Yellowthroat,0.0091,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0082,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Cyanocitta cristata,Blue Jay,0.0081,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0077,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
3.0,6.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.1148,Birdsongs Recordings\24ft\Dark_eyed_Junco_24ft.wav,-1,-1,27,0.01
