Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.1083,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Hierococcyx hyperythrus,Northern Hawk-Cuckoo,0.0349,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Mimus saturninus,Chalk-browed Mockingbird,0.0219,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus mandarinus,Chinese Blackbird,0.0209,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Mimus gilvus,Tropical Mockingbird,0.0190,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Copsychus saularis,Oriental Magpie-Robin,0.0092,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Toxostoma rufum,Brown Thrasher,0.0053,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0048,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Hierococcyx fugax,Malaysian Hawk-Cuckoo,0.0037,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.0034,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Garrulax canorus,Chinese Hwamei,0.0028,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Chloropsis hardwickii,Orange-bellied Leafbird,0.0025,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Cyornis concretus,White-tailed Flycatcher,0.0022,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Sitta neumayer,Western Rock Nuthatch,0.0020,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Hypsipetes amaurotis,Brown-eared Bulbul,0.0018,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Geokichla citrina,Orange-headed Thrush,0.0017,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Larvivora cyane,Siberian Blue Robin,0.0016,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Ficedula zanthopygia,Yellow-rumped Flycatcher,0.0015,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Emberiza chrysophrys,Yellow-browed Bunting,0.0015,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
0.0,3.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.0014,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Quiscalus mexicanus,Great-tailed Grackle,0.0616,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Zapornia bicolor,Black-tailed Crake,0.0484,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Halcyon leucocephala,Gray-headed Kingfisher,0.0377,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0357,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Chloris chloris,European Greenfinch,0.0324,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0316,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Larvivora akahige,Japanese Robin,0.0218,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Mimus gilvus,Tropical Mockingbird,0.0216,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Melozone fusca,Canyon Towhee,0.0212,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Larvivora cyane,Siberian Blue Robin,0.0205,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Dryobates villosus,Hairy Woodpecker,0.0122,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Melanerpes cruentatus,Yellow-tufted Woodpecker,0.0081,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Loxia leucoptera,White-winged Crossbill,0.0073,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Megarynchus pitangua,Boat-billed Flycatcher,0.0068,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.0055,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Megaceryle alcyon,Belted Kingfisher,0.0051,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Furnarius rufus,Rufous Hornero,0.0049,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Mimus saturninus,Chalk-browed Mockingbird,0.0045,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Quiscalus lugubris,Carib Grackle,0.0043,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
3.0,6.0,Engine,Engine,0.0040,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Mimus polyglottos,Northern Mockingbird,0.3493,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Microeca fascinans,Jacky-winter,0.1600,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Mimus gilvus,Tropical Mockingbird,0.1269,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Turdus mandarinus,Chinese Blackbird,0.1189,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Mimus saturninus,Chalk-browed Mockingbird,0.0356,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Chloris chloris,European Greenfinch,0.0159,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Icterus auratus,Orange Oriole,0.0136,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Turdus philomelos,Song Thrush,0.0067,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Cossypha semirufa,Rüppell's Robin-Chat,0.0045,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Micronisus gabar,Gabar Goshawk,0.0041,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Icterus galbula,Baltimore Oriole,0.0034,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Chamaea fasciata,Wrentit,0.0032,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Baeolophus atricristatus,Black-crested Titmouse,0.0026,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Siren,Siren,0.0025,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Baeolophus bicolor,Tufted Titmouse,0.0022,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Engine,Engine,0.0020,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Cercotrichas barbata,Miombo Scrub-Robin,0.0018,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Quiscalus mexicanus,Great-tailed Grackle,0.0018,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.0016,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
6.0,9.0,Acridotheres tristis,Common Myna,0.0015,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Hypsipetes ganeesa,Square-tailed Bulbul,0.1247,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Gymnocichla nudiceps,Bare-crowned Antbird,0.0776,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Geokichla citrina,Orange-headed Thrush,0.0578,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Clytoctantes alixii,Recurve-billed Bushbird,0.0394,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Ficedula zanthopygia,Yellow-rumped Flycatcher,0.0337,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Copsychus saularis,Oriental Magpie-Robin,0.0299,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Tarsiger cyanurus,Red-flanked Bluetail,0.0194,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Myrmeciza longipes,White-bellied Antbird,0.0180,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Monticola solitarius,Blue Rock-Thrush,0.0152,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Turdus serranus,Glossy-black Thrush,0.0145,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Halcyon gularis,Brown-breasted Kingfisher,0.0113,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Dicrurus macrocercus,Black Drongo,0.0084,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Icterus auratus,Orange Oriole,0.0073,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Psittiparus gularis,Gray-headed Parrotbill,0.0072,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Hafferia zeledoni,Zeledon's Antbird,0.0066,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Surniculus lugubris,Square-tailed Drongo-Cuckoo,0.0063,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Chloropsis aurifrons,Golden-fronted Leafbird,0.0054,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
9.0,10.0,Myrmoborus lugubris,Ash-breasted Antbird,0.0040,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,-1,-1,27,0.01
