Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus pilaris,Fieldfare,0.0296,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Fulica atra,Eurasian Coot,0.0158,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.0136,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Emberiza citrinella,Yellowhammer,0.0093,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Botaurus stellaris,Great Bittern,0.0092,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Pluvialis apricaria,European Golden-Plover,0.0067,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Emberiza calandra,Corn Bunting,0.0064,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Coturnix coturnix,Common Quail,0.0061,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Phasianus colchicus,Ring-necked Pheasant,0.0059,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Phoenicurus ochruros,Black Redstart,0.0057,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Actitis hypoleucos,Common Sandpiper,0.0056,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
0.0,3.0,Corvus corone,Carrion Crow,0.0055,Birdsongs Recordings\36ft\Northern_Yellow_Warbler_36ft.wav,-1,-1,27,0.01
