Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.8397,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Pipilo chlorurus,Green-tailed Towhee,0.0820,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Leiothlypis virginiae,Virginia's Warbler,0.0193,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Geothlypis tolmiei,MacGillivray's Warbler,0.0091,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Junco phaeonotus,Yellow-eyed Junco,0.0077,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Empidonax oberholseri,Dusky Flycatcher,0.0077,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0050,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0041,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0037,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Vireo plumbeus,Plumbeous Vireo,0.0026,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Spizella atrogularis,Black-chinned Sparrow,0.0026,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Oreortyx pictus,Mountain Quail,0.0025,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Empidonax hammondii,Hammond's Flycatcher,0.0025,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga graciae,Grace's Warbler,0.0021,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0020,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Contopus cooperi,Olive-sided Flycatcher,0.0017,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0016,Birdsongs Recordings\36ft\Spotted_Towhee_36ft.wav,-1,-1,27,0.01
