Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Calypte anna,Anna's Hummingbird,0.9313,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Chionomesa lactea,Sapphire-spangled Emerald,0.0327,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Amazona auropalliata,Yellow-naped Parrot,0.0204,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Melanospiza bicolor,Black-faced Grassquit,0.0192,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Coereba flaveola,Bananaquit,0.0181,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Chlorostilbon mellisugus,Blue-tailed Emerald,0.0148,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0075,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Phoenicurus ochruros,Black Redstart,0.0065,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Coccyzus minor,Mangrove Cuckoo,0.0053,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Mohoua albicilla,Whitehead,0.0042,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Eudynamys orientalis,Pacific Koel,0.0039,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Vanellus miles,Masked Lapwing,0.0038,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Alcippe morrisonia,Morrison's Fulvetta,0.0038,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Chionomesa fimbriata,Glittering-throated Emerald,0.0031,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Basileuterus rufifrons,Rufous-capped Warbler,0.0030,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Dicaeum australe,Red-keeled Flowerpecker,0.0030,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0023,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0022,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Ortalis columbiana,Colombian Chachalaca,0.0021,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
0.0,3.0,Poecile rufescens,Chestnut-backed Chickadee,0.0021,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.9961,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
3.0,6.0,Coereba flaveola,Bananaquit,0.0522,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
3.0,6.0,Eudynamys orientalis,Pacific Koel,0.0118,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
3.0,6.0,Acanthisitta chloris,Rifleman,0.0093,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
3.0,6.0,Chlorostilbon mellisugus,Blue-tailed Emerald,0.0087,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
3.0,6.0,Melanospiza bicolor,Black-faced Grassquit,0.0063,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
3.0,6.0,Phoenicurus ochruros,Black Redstart,0.0059,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
3.0,6.0,Calypte costae,Costa's Hummingbird,0.0057,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
3.0,6.0,Poecile rufescens,Chestnut-backed Chickadee,0.0053,Birdsongs Recordings\48ft\Anna_s_Hummingbird_48ft.wav,-1,-1,27,0.01
