Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.1707,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0154,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Amphispiza bilineata,Black-throated Sparrow,0.0149,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0087,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0079,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Spizella atrogularis,Black-chinned Sparrow,0.0078,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Melanerpes uropygialis,Gila Woodpecker,0.0061,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0057,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0049,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.0049,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Melozone fusca,Canyon Towhee,0.0042,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Leiothlypis luciae,Lucy's Warbler,0.0040,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0039,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Chamaea fasciata,Wrentit,0.0038,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Peucaea carpalis,Rufous-winged Sparrow,0.0034,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0025,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Catherpes mexicanus,Canyon Wren,0.0024,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0023,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Vireo bellii,Bell's Vireo,0.0022,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
0.0,3.0,Empidonax occidentalis,Cordilleran Flycatcher,0.0022,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Pipilo erythrophthalmus,Eastern Towhee,0.1921,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0552,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Larvivora cyane,Siberian Blue Robin,0.0426,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Peucaea aestivalis,Bachman's Sparrow,0.0369,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0362,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Apus melba,Alpine Swift,0.0302,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Leiothlypis celata,Orange-crowned Warbler,0.0209,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Phylloscopus tephrocephalus,Gray-crowned Warbler,0.0166,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0164,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Emberiza cirlus,Cirl Bunting,0.0151,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Phoenicurus ochruros,Black Redstart,0.0133,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Setophaga pinus,Pine Warbler,0.0124,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Prinia socialis,Ashy Prinia,0.0118,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Orthotomus atrogularis,Dark-necked Tailorbird,0.0118,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Setophaga discolor,Prairie Warbler,0.0078,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Phylloscopus tenellipes,Pale-legged Leaf Warbler,0.0072,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Prinia flaviventris,Yellow-bellied Prinia,0.0072,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.0072,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Spizella passerina,Chipping Sparrow,0.0070,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
3.0,6.0,Prinia inornata,Plain Prinia,0.0069,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Apus melba,Alpine Swift,0.0253,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Otus lettia,Collared Scops-Owl,0.0251,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Falco peregrinus,Peregrine Falcon,0.0187,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Ixobrychus flavicollis,Black Bittern,0.0177,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Engine,Engine,0.0158,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Megascops asio,Eastern Screech-Owl,0.0122,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Acrocephalus stentoreus,Clamorous Reed Warbler,0.0116,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Centropus bengalensis,Lesser Coucal,0.0101,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0100,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Cacomantis merulinus,Plaintive Cuckoo,0.0097,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Amblycorypha longinicta,Common Virtuoso Katydid,0.0089,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Ninox scutulata,Brown Boobook,0.0080,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Rallina eurizonoides,Slaty-legged Crake,0.0079,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Scudderia furcata,Fork-tailed Bush Katydid,0.0053,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Zapornia fusca,Ruddy-breasted Crake,0.0052,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Otus lempiji,Sunda Scops-Owl,0.0051,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Gallinula chloropus,Eurasian Moorhen,0.0050,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Caprimulgus atripennis,Jerdon's Nightjar,0.0039,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Fulica atra,Eurasian Coot,0.0039,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
6.0,9.0,Caprimulgus affinis,Savanna Nightjar,0.0037,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Caprimulgus affinis,Savanna Nightjar,0.0145,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Caprimulgus atripennis,Jerdon's Nightjar,0.0117,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Gracupica contra,Asian Pied Starling,0.0115,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Otus bakkamoena,Indian Scops-Owl,0.0114,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Acrocephalus stentoreus,Clamorous Reed Warbler,0.0108,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Athene brama,Spotted Owlet,0.0091,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Cacomantis merulinus,Plaintive Cuckoo,0.0082,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.0080,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Rallina eurizonoides,Slaty-legged Crake,0.0076,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Vanellus malabaricus,Yellow-wattled Lapwing,0.0074,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Acridotheres tristis,Common Myna,0.0074,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Halcyon smyrnensis,White-throated Kingfisher,0.0072,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Spilornis cheela,Crested Serpent-Eagle,0.0071,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Dicrurus macrocercus,Black Drongo,0.0069,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.0069,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Lewinia striata,Slaty-breasted Rail,0.0069,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
9.0,10.0,Pelargopsis capensis,Stork-billed Kingfisher,0.0067,Birdsongs Recordings\48ft\Bewick_s_Wren_48ft.wav,-1,-1,27,0.01
