Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.4540,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Phylloscopus proregulus,Pallas's Leaf Warbler,0.3264,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0653,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0414,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus magellanicus,Hooded Siskin,0.0403,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Crithagra striolata,Streaky Seedeater,0.0171,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Zosterops simplex,Swinhoe's White-eye,0.0105,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Hippolais icterina,Icterine Warbler,0.0095,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Carduelis carduelis,European Goldfinch,0.0090,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Leptocoma zeylonica,Purple-rumped Sunbird,0.0088,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus olivaceus,Olivaceous Siskin,0.0083,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Copsychus saularis,Oriental Magpie-Robin,0.0063,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Zosterops japonicus,Warbling White-eye,0.0063,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus notatus,Black-headed Siskin,0.0057,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus barbatus,Black-chinned Siskin,0.0054,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus xanthogastrus,Yellow-bellied Siskin,0.0050,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0049,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus spinescens,Andean Siskin,0.0047,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0044,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
0.0,3.0,Chloropsis hardwickii,Orange-bellied Leafbird,0.0043,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Myzomela rubratra,Micronesian Myzomela,0.1316,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Melozone aberti,Abert's Towhee,0.1121,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Drymophila rubricollis,Bertoni's Antbird,0.0916,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Petroica longipes,North Island Robin,0.0412,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Ictinia mississippiensis,Mississippi Kite,0.0363,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Falco sparverius,American Kestrel,0.0330,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Phylloscopus proregulus,Pallas's Leaf Warbler,0.0279,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Passerina cyanea,Indigo Bunting,0.0228,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Prinia socialis,Ashy Prinia,0.0197,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Parkesia motacilla,Louisiana Waterthrush,0.0167,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Apus melba,Alpine Swift,0.0137,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Drymophila striaticeps,Streak-headed Antbird,0.0131,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Copsychus saularis,Oriental Magpie-Robin,0.0121,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Cyanocompsa parellina,Blue Bunting,0.0113,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Sipia laemosticta,Dull-mantled Antbird,0.0099,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Limnothlypis swainsonii,Swainson's Warbler,0.0090,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus leucops,Pale-eyed Thrush,0.0086,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Cyanomitra olivacea,Olive Sunbird,0.0079,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Sericornis magnirostra,Large-billed Scrubwren,0.0078,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
3.0,6.0,Parkesia noveboracensis,Northern Waterthrush,0.0074,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
6.0,9.0,Spinus psaltria,Lesser Goldfinch,0.8851,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
6.0,9.0,Spinus tristis,American Goldfinch,0.0804,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
6.0,9.0,Phylloscopus proregulus,Pallas's Leaf Warbler,0.0618,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
6.0,9.0,Spinus spinus,Eurasian Siskin,0.0507,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
6.0,9.0,Sayornis nigricans,Black Phoebe,0.0393,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
6.0,9.0,Sinosuthora webbiana,Vinous-throated Parrotbill,0.0179,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
6.0,9.0,Acrocephalus dumetorum,Blyth's Reed Warbler,0.0178,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
6.0,9.0,Zosterops japonicus,Warbling White-eye,0.0158,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,-1,-1,27,0.01
