Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.9994,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Tyrannus vociferans,Cassin's Kingbird,0.0268,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Icterus bullockii,Bullock's Oriole,0.0228,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Icterus spurius,Orchard Oriole,0.0052,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Vireo crassirostris,Thick-billed Vireo,0.0039,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Toxostoma curvirostre,Curve-billed Thrasher,0.0037,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Icterus pustulatus,Streak-backed Oriole,0.0017,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.0015,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Oenanthe oenanthe,Northern Wheatear,0.0009,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Vireo griseus,White-eyed Vireo,0.0008,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0006,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0006,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Tetrao urogallus,Western Capercaillie,0.0005,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0005,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0004,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0003,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Vireo cassinii,Cassin's Vireo,0.0003,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Cardinalis sinuatus,Pyrrhuloxia,0.0003,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus mandarinus,Chinese Blackbird,0.0003,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
0.0,3.0,Curaeus curaeus,Austral Blackbird,0.0003,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Icterus cucullatus,Hooded Oriole,0.9278,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Toxostoma curvirostre,Curve-billed Thrasher,0.2312,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Dumetella carolinensis,Gray Catbird,0.0262,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Melanotis caerulescens,Blue Mockingbird,0.0040,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Icterus pustulatus,Streak-backed Oriole,0.0038,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Euphagus carolinus,Rusty Blackbird,0.0030,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0029,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Toxostoma rufum,Brown Thrasher,0.0028,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Icterus galbula,Baltimore Oriole,0.0025,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Acrocephalus stentoreus,Clamorous Reed Warbler,0.0024,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Toxostoma redivivum,California Thrasher,0.0024,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Lanius ludovicianus,Loggerhead Shrike,0.0024,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
3.0,6.0,Cisticola cantans,Singing Cisticola,0.0019,Birdsongs Recordings\4ft\Hooded_Oriole_4ft.wav,-1,-1,27,0.01
