Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Passer domesticus,House Sparrow,0.6731,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Passer italiae,Italian Sparrow,0.1109,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Passer hispaniolensis,Spanish Sparrow,0.0202,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.0138,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Passer montanus,Eurasian Tree Sparrow,0.0066,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0044,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0040,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Cercotrichas coryphoeus,Karoo Scrub-Robin,0.0019,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus nigriceps,Andean Slaty Thrush,0.0016,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus flavipes,Yellow-legged Thrush,0.0012,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0012,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Luscinia svecica,Bluethroat,0.0009,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Thamnolaea cinnamomeiventris,Mocking Cliff-Chat,0.0007,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Lanius collurio,Red-backed Shrike,0.0007,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus falcklandii,Austral Thrush,0.0006,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0006,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Sturnus vulgaris,European Starling,0.0005,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Tachycineta bicolor,Tree Swallow,0.0005,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Vireo olivaceus,Red-eyed Vireo,0.0005,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0004,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Passer domesticus,House Sparrow,0.6954,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Passer italiae,Italian Sparrow,0.0184,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Tachycineta bicolor,Tree Swallow,0.0067,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Passer montanus,Eurasian Tree Sparrow,0.0042,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Dumetella carolinensis,Gray Catbird,0.0030,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0025,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Campylorhynchus brunneicapillus,Cactus Wren,0.0022,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Passer hispaniolensis,Spanish Sparrow,0.0019,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Vireo olivaceus,Red-eyed Vireo,0.0018,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Vireo flavoviridis,Yellow-green Vireo,0.0006,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
3.0,6.0,Phrygilus patagonicus,Patagonian Sierra Finch,0.0006,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,-1,-1,27,0.01
