Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Columba livia,Rock Pigeon,0.9918,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Pulsatrix koeniswaldiana,Tawny-browed Owl,0.0045,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Columba guinea,Speckled Pigeon,0.0043,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Engine,Engine,0.0024,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Coragyps atratus,Black Vulture,0.0010,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Columba palumbus,Common Wood-Pigeon,0.0007,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Lophodytes cucullatus,Hooded Merganser,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Patagioenas fasciata,Band-tailed Pigeon,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Tyrannus verticalis,Western Kingbird,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Streptopelia semitorquata,Red-eyed Dove,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Ixobrychus exilis,Least Bittern,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Bubo bubo,Eurasian Eagle-Owl,0.0004,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Streptopelia lugens,Dusky Turtle-Dove,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Gorsachius melanolophus,Malayan Night-Heron,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0002,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Strix varia,Barred Owl,0.0002,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0002,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Streptopelia orientalis,Oriental Turtle-Dove,0.0002,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
0.0,3.0,Fulica americana,American Coot,0.0002,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Columba livia,Rock Pigeon,0.9938,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Ixobrychus exilis,Least Bittern,0.0051,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Pulsatrix koeniswaldiana,Tawny-browed Owl,0.0042,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Bubo bubo,Eurasian Eagle-Owl,0.0020,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Columba palumbus,Common Wood-Pigeon,0.0007,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Lyrurus tetrix,Black Grouse,0.0007,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Ptilopsis leucotis,Northern White-faced Owl,0.0007,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Engine,Engine,0.0006,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Columba guinea,Speckled Pigeon,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Human vocal,Human vocal,0.0004,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Streptopelia semitorquata,Red-eyed Dove,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Cardinalis cardinalis,Northern Cardinal,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
3.0,6.0,Bubo virginianus,Great Horned Owl,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,-1,-1,27,0.01
