Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus migratorius,American Robin,0.7723,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Piranga rubra,Summer Tanager,0.2135,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0357,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0246,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0125,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Piranga flava,Hepatic Tanager,0.0091,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus ludovicianus,Rose-breasted Grosbeak,0.0089,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Icterus galbula,Baltimore Oriole,0.0075,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Piranga olivacea,Scarlet Tanager,0.0029,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus infuscatus,Black Thrush,0.0024,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.0015,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus aureoventris,Black-backed Grosbeak,0.0014,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.0010,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus pallidus,Pale Thrush,0.0008,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.0008,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus falcklandii,Austral Thrush,0.0006,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Erithacus rubecula,European Robin,0.0004,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0004,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0003,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus ignobilis,Black-billed Thrush,0.0003,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus migratorius,American Robin,0.9597,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus ignobilis,Black-billed Thrush,0.0241,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus falcklandii,Austral Thrush,0.0155,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus rufitorques,Rufous-collared Robin,0.0088,Birdsongs Recordings\8ft\American_Robin_8ft.wav,-1,-1,27,0.01
