Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Hirundo rustica,Barn Swallow,0.9986,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Delichon urbicum,Common House-Martin,0.0027,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Riparia riparia,Bank Swallow,0.0009,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Aeronautes saxatalis,White-throated Swift,0.0008,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Melanocorypha calandra,Calandra Lark,0.0004,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Petrochelidon pyrrhonota,Cliff Swallow,0.0004,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Sternula albifrons,Little Tern,0.0003,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Perdix perdix,Gray Partridge,0.0003,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Hirundo neoxena,Welcome Swallow,0.0002,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Iduna caligata,Booted Warbler,0.0002,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Euphagus carolinus,Rusty Blackbird,0.0001,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Rallus limicola,Virginia Rail,0.0001,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Tachycineta bicolor,Tree Swallow,0.0001,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Ammospiza nelsoni,Nelson's Sparrow,0.0001,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0001,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Carduelis carduelis,European Goldfinch,0.0001,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Cyanocitta cristata,Blue Jay,0.0001,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Geothlypis trichas,Common Yellowthroat,0.0000,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Luscinia svecica,Bluethroat,0.0000,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
0.0,3.0,Ammodramus savannarum,Grasshopper Sparrow,0.0000,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Hirundo rustica,Barn Swallow,0.9943,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Cecropis daurica,Red-rumped Swallow,0.0892,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Petrochelidon pyrrhonota,Cliff Swallow,0.0683,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Hirundo neoxena,Welcome Swallow,0.0308,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Melanocorypha calandra,Calandra Lark,0.0198,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Hirundo tahitica,Pacific Swallow,0.0182,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Delichon urbicum,Common House-Martin,0.0129,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Mimus triurus,White-banded Mockingbird,0.0075,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Lanius schach,Long-tailed Shrike,0.0063,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Ploceus cucullatus,Village Weaver,0.0062,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Acrocephalus palustris,Marsh Warbler,0.0052,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Iduna rama,Sykes's Warbler,0.0046,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Lanius senator,Woodchat Shrike,0.0046,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Pellorneum albiventre,Spot-throated Babbler,0.0046,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Arundinax aedon,Thick-billed Warbler,0.0045,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Hirundo smithii,Wire-tailed Swallow,0.0038,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Iduna caligata,Booted Warbler,0.0037,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Acrocephalus agricola,Paddyfield Warbler,0.0033,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Aeronautes saxatalis,White-throated Swift,0.0024,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
3.0,6.0,Argya malcolmi,Large Gray Babbler,0.0022,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Hirundo rustica,Barn Swallow,0.9782,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Cecropis daurica,Red-rumped Swallow,0.0159,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Delichon urbicum,Common House-Martin,0.0063,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Petrochelidon fulva,Cave Swallow,0.0050,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Petrochelidon pyrrhonota,Cliff Swallow,0.0042,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Melanocorypha calandra,Calandra Lark,0.0040,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Iduna caligata,Booted Warbler,0.0026,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Cistothorus palustris,Marsh Wren,0.0017,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Hirundo tahitica,Pacific Swallow,0.0016,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Acrocephalus agricola,Paddyfield Warbler,0.0016,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Spinus barbatus,Black-chinned Siskin,0.0016,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Forpus cyanopygius,Mexican Parrotlet,0.0011,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Locustella naevia,Common Grasshopper-Warbler,0.0011,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Acrocephalus palustris,Marsh Warbler,0.0010,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Pseudasthenes humicola,Dusky-tailed Canastero,0.0009,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Forpus passerinus,Green-rumped Parrotlet,0.0007,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Acrocephalus melanopogon,Moustached Warbler,0.0007,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Sclerurus albigularis,Gray-throated Leaftosser,0.0007,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Mirafra cheniana,Latakoo Lark,0.0006,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
6.0,9.0,Ammospiza nelsoni,Nelson's Sparrow,0.0006,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Manacus manacus,White-bearded Manakin,0.0432,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Euscarthmus meloryphus,Rufous-crowned Pygmy-Tyrant,0.0342,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Phaeomyias murina,Mouse-colored Tyrannulet,0.0205,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Synallaxis stictothorax,Necklaced Spinetail,0.0197,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Synallaxis azarae,Azara's Spinetail,0.0159,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Curruca melanocephala,Sardinian Warbler,0.0158,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Megaceryle alcyon,Belted Kingfisher,0.0145,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Nesillas lantzii,Subdesert Brush-Warbler,0.0126,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Horornis flavolivaceus,Aberrant Bush Warbler,0.0126,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Chloroceryle americana,Green Kingfisher,0.0106,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Certhiaxis cinnamomeus,Yellow-chinned Spinetail,0.0104,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Pyrrhura orcesi,El Oro Parakeet,0.0100,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Ochetorhynchus phoenicurus,Band-tailed Earthcreeper,0.0098,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Francolinus pictus,Painted Francolin,0.0098,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Spatula querquedula,Garganey,0.0087,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Cyanocorax yncas,Green Jay,0.0087,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Camptostoma obsoletum,Southern Beardless-Tyrannulet,0.0085,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Upucerthia saturatior,Patagonian Forest Earthcreeper,0.0084,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Synallaxis albescens,Pale-breasted Spinetail,0.0081,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
9.0,10.0,Drymophila striaticeps,Streak-headed Antbird,0.0081,Birdsongs Recordings\8ft\Barn_Swallow_8ft.wav,-1,-1,27,0.01
