Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus migratorius,American Robin,0.6385,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Piranga rubra,Summer Tanager,0.2341,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0284,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus ludovicianus,Rose-breasted Grosbeak,0.0148,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Icterus galbula,Baltimore Oriole,0.0118,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0085,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus pelios,African Thrush,0.0076,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus ignobilis,Black-billed Thrush,0.0047,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0045,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Piranga flava,Hepatic Tanager,0.0045,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Piranga olivacea,Scarlet Tanager,0.0030,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus aureoventris,Black-backed Grosbeak,0.0022,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus pallidus,Pale Thrush,0.0015,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Copsychus saularis,Oriental Magpie-Robin,0.0010,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.0005,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.0004,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0003,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Gerygone magnirostris,Large-billed Gerygone,0.0003,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0003,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0003,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus migratorius,American Robin,0.6101,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus ignobilis,Black-billed Thrush,0.1327,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus falcklandii,Austral Thrush,0.0070,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.0056,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Icterus galbula,Baltimore Oriole,0.0049,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Piranga rubra,Summer Tanager,0.0041,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus rufitorques,Rufous-collared Robin,0.0038,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus pelios,African Thrush,0.0023,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Copsychus saularis,Oriental Magpie-Robin,0.0012,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
3.0,6.0,Turdus philomelos,Song Thrush,0.0011,Birdsongs Recordings\12ft\American_Robin_12ft.wav,-1,-1,27,0.01
