Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Hirundo rustica,Barn Swallow,0.9977,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Tachycineta bicolor,Tree Swallow,0.0008,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Vireo bellii,Bell's Vireo,0.0008,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Petrochelidon pyrrhonota,Cliff Swallow,0.0007,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Riparia riparia,Bank Swallow,0.0006,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0004,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Geothlypis trichas,Common Yellowthroat,0.0004,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Rallus limicola,Virginia Rail,0.0004,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Empidonax traillii,Willow Flycatcher,0.0002,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Accipiter cooperii,Cooper's Hawk,0.0002,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0002,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passerculus sandwichensis,Savannah Sparrow,0.0002,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0002,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0002,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Aeronautes saxatalis,White-throated Swift,0.0002,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Megaceryle alcyon,Belted Kingfisher,0.0001,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Aix sponsa,Wood Duck,0.0001,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0001,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Falco sparverius,American Kestrel,0.0001,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0001,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Hirundo rustica,Barn Swallow,0.9988,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Petrochelidon pyrrhonota,Cliff Swallow,0.2432,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Geococcyx californianus,Greater Roadrunner,0.0050,Birdsongs Recordings\12ft\Barn_Swallow_12ft.wav,34.0522,-118.2437,-1,0.01
