Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Passer domesticus,House Sparrow,0.3421,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0069,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0023,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Tachycineta bicolor,Tree Swallow,0.0014,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0007,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sturnus vulgaris,European Starling,0.0006,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0005,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0005,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Campylorhynchus brunneicapillus,Cactus Wren,0.0004,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zenaida macroura,Mourning Dove,0.0003,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Columba livia,Rock Pigeon,0.0003,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zenaida asiatica,White-winged Dove,0.0002,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Accipiter cooperii,Cooper's Hawk,0.0002,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melozone aberti,Abert's Towhee,0.0002,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Streptopelia decaocto,Eurasian Collared-Dove,0.0001,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0001,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.0001,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pandion haliaetus,Osprey,0.0001,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0001,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Hirundo rustica,Barn Swallow,0.0001,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Passer domesticus,House Sparrow,0.7826,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Tachycineta bicolor,Tree Swallow,0.0040,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0029,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Hirundo rustica,Barn Swallow,0.0021,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Zenaida asiatica,White-winged Dove,0.0006,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Myadestes townsendi,Townsend's Solitaire,0.0006,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Campylorhynchus brunneicapillus,Cactus Wren,0.0004,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0004,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Dryobates pubescens,Downy Woodpecker,0.0004,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Cardinalis cardinalis,Northern Cardinal,0.0003,Birdsongs Recordings\12ft\House_Sparrow_12ft.wav,34.0522,-118.2437,-1,0.01
