Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0763,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0006,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0005,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Toxostoma crissale,Crissal Thrasher,0.0004,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Tyto alba,Barn Owl,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melozone aberti,Abert's Towhee,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Auriparus flaviceps,Verdin,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Poecile gambeli,Mountain Chickadee,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melozone crissalis,California Towhee,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.9991,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0089,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0018,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Melozone crissalis,California Towhee,0.0011,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0008,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0008,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Vireo huttoni,Hutton's Vireo,0.0006,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0006,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0006,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Vireo cassinii,Cassin's Vireo,0.0006,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Leiothlypis celata,Orange-crowned Warbler,0.0005,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Icterus cucullatus,Hooded Oriole,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Quiscalus mexicanus,Great-tailed Grackle,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus psaltria,Lesser Goldfinch,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Sitta carolinensis,White-breasted Nuthatch,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spizella passerina,Chipping Sparrow,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Poecile rufescens,Chestnut-backed Chickadee,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Baeolophus inornatus,Oak Titmouse,0.9985,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Melozone crissalis,California Towhee,0.0009,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Thryomanes bewickii,Bewick's Wren,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Salpinctes obsoletus,Rock Wren,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Spinus tristis,American Goldfinch,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Leiothlypis celata,Orange-crowned Warbler,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Junco hyemalis,Dark-eyed Junco,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Pipilo maculatus,Spotted Towhee,0.0003,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Dryobates pubescens,Downy Woodpecker,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Vireo huttoni,Hutton's Vireo,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Accipiter cooperii,Cooper's Hawk,0.0002,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Cardinalis cardinalis,Northern Cardinal,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Zenaida macroura,Mourning Dove,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Zonotrichia atricapilla,Golden-crowned Sparrow,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Poecile rufescens,Chestnut-backed Chickadee,0.0001,Birdsongs Recordings\12ft\Oak_Titmouse_12ft.wav,34.0522,-118.2437,-1,0.01
