Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus migratorius,American Robin,0.9215,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0299,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0257,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0031,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0016,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0011,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Rallus limicola,Virginia Rail,0.0011,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0010,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0010,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0010,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0007,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0007,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0006,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sturnella neglecta,Western Meadowlark,0.0005,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0005,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0005,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0004,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Colaptes auratus,Northern Flicker,0.0004,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Geothlypis trichas,Common Yellowthroat,0.0004,Birdsongs Recordings\1ft\American_Robin_1ft.wav,34.0522,-118.2437,-1,0.01
