Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.8867,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Fulica americana,American Coot,0.0186,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Icterus bullockii,Bullock's Oriole,0.0146,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Oxyura jamaicensis,Ruddy Duck,0.0128,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Vireo bellii,Bell's Vireo,0.0098,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Tyrannus vociferans,Cassin's Kingbird,0.0097,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0089,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0081,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0071,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0052,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Geococcyx californianus,Greater Roadrunner,0.0050,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0044,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Vireo cassinii,Cassin's Vireo,0.0041,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0041,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Icteria virens,Yellow-breasted Chat,0.0038,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryocopus pileatus,Pileated Woodpecker,0.0028,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0028,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0028,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Rallus limicola,Virginia Rail,0.0026,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passerella iliaca,Fox Sparrow,0.0026,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Icterus cucullatus,Hooded Oriole,0.6742,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Toxostoma redivivum,California Thrasher,0.0062,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Phainopepla nitens,Phainopepla,0.0058,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Icterus bullockii,Bullock's Oriole,0.0048,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Porzana carolina,Sora,0.0046,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.0033,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Lanius ludovicianus,Loggerhead Shrike,0.0032,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Cistothorus palustris,Marsh Wren,0.0026,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.0023,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Amphispiza bilineata,Black-throated Sparrow,0.0021,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0020,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Campylorhynchus brunneicapillus,Cactus Wren,0.0017,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0016,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0016,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Tyrannus verticalis,Western Kingbird,0.0016,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.0014,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0013,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Rallus limicola,Virginia Rail,0.0012,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,34.0522,-118.2437,-1,0.01
