Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Zenaida macroura,Mourning Dove,0.5822,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zenaida asiatica,White-winged Dove,0.0032,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Gavia immer,Common Loon,0.0030,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0016,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Streptopelia decaocto,Eurasian Collared-Dove,0.0012,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0005,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0005,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0004,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Meleagris gallopavo,Wild Turkey,0.0003,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryocopus pileatus,Pileated Woodpecker,0.0003,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Callipepla gambelii,Gambel's Quail,0.0003,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Ardea herodias,Great Blue Heron,0.0003,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0003,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Corvus brachyrhynchos,American Crow,0.0003,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Megaceryle alcyon,Belted Kingfisher,0.0002,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Geococcyx californianus,Greater Roadrunner,0.0002,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Campylorhynchus brunneicapillus,Cactus Wren,0.0002,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Catherpes mexicanus,Canyon Wren,0.0002,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Colaptes auratus,Northern Flicker,0.0002,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0002,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Zenaida macroura,Mourning Dove,0.9285,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Zenaida asiatica,White-winged Dove,0.0057,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Geococcyx californianus,Greater Roadrunner,0.0012,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Streptopelia decaocto,Eurasian Collared-Dove,0.0007,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Lophodytes cucullatus,Hooded Merganser,0.0002,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Bubo virginianus,Great Horned Owl,0.0001,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Aythya valisineria,Canvasback,0.0001,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Ardea alba,Great Egret,0.0001,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Buteo lineatus,Red-shouldered Hawk,0.0001,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Meleagris gallopavo,Wild Turkey,0.0001,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Gavia immer,Common Loon,0.0001,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Nannopterum auritum,Double-crested Cormorant,0.0001,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Mareca americana,American Wigeon,0.0001,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Cardinalis cardinalis,Northern Cardinal,0.0000,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Pandion haliaetus,Osprey,0.0000,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Callipepla gambelii,Gambel's Quail,0.0000,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Sula leucogaster,Brown Booby,0.0000,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Bucephala clangula,Common Goldeneye,0.0000,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Corvus brachyrhynchos,American Crow,0.0000,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Rallus obsoletus,Ridgway's Rail,0.0000,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Zenaida macroura,Mourning Dove,0.8296,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,34.0522,-118.2437,-1,0.01
