Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus migratorius,American Robin,0.1228,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0192,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0166,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0148,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0142,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zenaida macroura,Mourning Dove,0.0070,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Falco columbarius,Merlin,0.0066,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0056,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0048,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0039,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sturnus vulgaris,European Starling,0.0036,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Leiothlypis ruficapilla,Nashville Warbler,0.0032,Birdsongs Recordings\24ft\European_Starling_24ft.wav,34.0522,-118.2437,-1,0.01
