Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.8805,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pipilo chlorurus,Green-tailed Towhee,0.0601,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0034,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0033,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Empidonax oberholseri,Dusky Flycatcher,0.0012,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0011,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Empidonax hammondii,Hammond's Flycatcher,0.0009,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Falco peregrinus,Peregrine Falcon,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Geothlypis tolmiei,MacGillivray's Warbler,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0007,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Corvus brachyrhynchos,American Crow,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Empidonax wrightii,Gray Flycatcher,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spizella atrogularis,Black-chinned Sparrow,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Anas platyrhynchos,Mallard,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pandion haliaetus,Osprey,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Tyto alba,Barn Owl,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Tyto alba,Barn Owl,0.0049,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0039,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Sitta carolinensis,White-breasted Nuthatch,0.0009,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Anas platyrhynchos,Mallard,0.0009,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Branta canadensis,Canada Goose,0.0009,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Cepphus columba,Pigeon Guillemot,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Aythya valisineria,Canvasback,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Falco peregrinus,Peregrine Falcon,0.0007,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Gavia immer,Common Loon,0.0007,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Megascops kennicottii,Western Screech-Owl,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Larus argentatus,Herring Gull,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Megaceryle alcyon,Belted Kingfisher,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Cardinalis cardinalis,Northern Cardinal,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Calidris alpina,Dunlin,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,-1,0.01
