Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Calypte anna,Anna's Hummingbird,0.9352,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Colaptes auratus,Northern Flicker,0.0017,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0016,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pandion haliaetus,Osprey,0.0013,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0009,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0009,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0008,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0007,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0004,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passerculus sandwichensis,Savannah Sparrow,0.0003,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0003,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0003,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0003,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.0003,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Geothlypis tolmiei,MacGillivray's Warbler,0.0003,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0002,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Corvus brachyrhynchos,American Crow,0.0002,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0002,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.8789,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Colaptes auratus,Northern Flicker,0.0178,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Turdus migratorius,American Robin,0.0091,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Dryocopus pileatus,Pileated Woodpecker,0.0049,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Sitta carolinensis,White-breasted Nuthatch,0.0048,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spizella passerina,Chipping Sparrow,0.0024,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Molothrus ater,Brown-headed Cowbird,0.0022,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0018,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Catharus guttatus,Hermit Thrush,0.0017,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0017,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Meleagris gallopavo,Wild Turkey,0.0016,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Chaetura vauxi,Vaux's Swift,0.0015,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Poecile rufescens,Chestnut-backed Chickadee,0.0014,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0014,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Dryobates villosus,Hairy Woodpecker,0.0011,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0010,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0009,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Buteo jamaicensis,Red-tailed Hawk,0.0009,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0008,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Geothlypis tolmiei,MacGillivray's Warbler,0.0008,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Calypte anna,Anna's Hummingbird,0.9977,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Hirundo rustica,Barn Swallow,0.0046,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0034,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Setophaga townsendi,Townsend's Warbler,0.0029,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0029,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Bubo virginianus,Great Horned Owl,0.0019,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0016,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Poecile rufescens,Chestnut-backed Chickadee,0.0014,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Melozone crissalis,California Towhee,0.0013,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Thryomanes bewickii,Bewick's Wren,0.0013,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Setophaga occidentalis,Hermit Warbler,0.0011,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Chamaea fasciata,Wrentit,0.0011,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Tyto alba,Barn Owl,0.0010,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Archilochus alexandri,Black-chinned Hummingbird,0.0009,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Passerculus sandwichensis,Savannah Sparrow,0.0009,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Calypte costae,Costa's Hummingbird,0.0008,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0007,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Baeolophus inornatus,Oak Titmouse,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Salpinctes obsoletus,Rock Wren,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Colaptes auratus,Northern Flicker,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Calypte anna,Anna's Hummingbird,0.9531,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Poecile rufescens,Chestnut-backed Chickadee,0.0093,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Selasphorus rufus,Rufous Hummingbird,0.0051,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Calypte costae,Costa's Hummingbird,0.0042,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Selasphorus sasin,Allen's Hummingbird,0.0024,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Chaetura vauxi,Vaux's Swift,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Archilochus alexandri,Black-chinned Hummingbird,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Contopus sordidulus,Western Wood-Pewee,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Setophaga occidentalis,Hermit Warbler,0.0006,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Thryomanes bewickii,Bewick's Wren,0.0004,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Accipiter striatus,Sharp-shinned Hawk,0.0004,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Empidonax oberholseri,Dusky Flycatcher,0.0004,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Troglodytes aedon,House Wren,0.0004,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0003,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
9.0,10.0,Melanerpes formicivorus,Acorn Woodpecker,0.0003,Birdsongs Recordings\36ft\Annas_Hummingbird_36ft.wav,34.0522,-118.2437,-1,0.01
