Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Melozone crissalis,California Towhee,0.9984,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0130,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0063,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cardellina pusilla,Wilson's Warbler,0.0049,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0026,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zonotrichia atricapilla,Golden-crowned Sparrow,0.0012,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passerella iliaca,Fox Sparrow,0.0012,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0007,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melozone aberti,Abert's Towhee,0.0007,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0006,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Setophaga coronata,Yellow-rumped Warbler,0.0005,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Leiothlypis ruficapilla,Nashville Warbler,0.0004,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0004,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0003,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Accipiter cooperii,Cooper's Hawk,0.0003,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0002,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Empidonax oberholseri,Dusky Flycatcher,0.0002,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0002,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Aphelocoma californica,California Scrub-Jay,0.0002,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pipilo chlorurus,Green-tailed Towhee,0.0002,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0319,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Setophaga coronata,Yellow-rumped Warbler,0.0078,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Certhia americana,Brown Creeper,0.0068,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Falco columbarius,Merlin,0.0060,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0052,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Setophaga occidentalis,Hermit Warbler,0.0038,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0026,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Melospiza lincolnii,Lincoln's Sparrow,0.0024,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Sitta carolinensis,White-breasted Nuthatch,0.0023,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Phalaenoptilus nuttallii,Common Poorwill,0.0023,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Dryobates pubescens,Downy Woodpecker,0.0023,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.0019,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Contopus cooperi,Olive-sided Flycatcher,0.0015,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Anas platyrhynchos,Mallard,0.0014,Birdsongs Recordings\36ft\California_Towhee_36ft.wav,34.0522,-118.2437,-1,0.01
