Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.4540,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0653,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0414,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0044,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0040,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0038,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0037,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Icterus bullockii,Bullock's Oriole,0.0027,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus pinus,Pine Siskin,0.0022,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passerella iliaca,Fox Sparrow,0.0021,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0020,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Vireo bellii,Bell's Vireo,0.0017,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0014,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zenaida macroura,Mourning Dove,0.0013,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0012,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pipilo chlorurus,Green-tailed Towhee,0.0011,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0011,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0011,Birdsongs Recordings\48ft\Lesser_Goldfinch_48ft.wav,34.0522,-118.2437,-1,0.01
