Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Anas platyrhynchos,Mallard,0.0068,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Phalaenoptilus nuttallii,Common Poorwill,0.0054,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Bucephala clangula,Common Goldeneye,0.0023,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Tyto alba,Barn Owl,0.0018,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Megascops kennicottii,Western Screech-Owl,0.0015,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Falco peregrinus,Peregrine Falcon,0.0013,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Accipiter striatus,Sharp-shinned Hawk,0.0012,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0012,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0010,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0010,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Numenius phaeopus,Whimbrel,0.0008,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Certhia americana,Brown Creeper,0.0006,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Falco columbarius,Merlin,0.0006,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Anser albifrons,Greater White-fronted Goose,0.0006,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Anas crecca,Green-winged Teal,0.0005,Birdsongs Recordings\48ft\Northern_Yellow_Warbler_48ft.wav,34.0522,-118.2437,-1,0.01
