Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Columba livia,Rock Pigeon,0.9918,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Lophodytes cucullatus,Hooded Merganser,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Patagioenas fasciata,Band-tailed Pigeon,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Tyrannus verticalis,Western Kingbird,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Ixobrychus exilis,Least Bittern,0.0005,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0002,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0002,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Fulica americana,American Coot,0.0002,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Toxostoma lecontei,LeConte's Thrasher,0.0002,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Callipepla californica,California Quail,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Porzana carolina,Sora,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Geococcyx californianus,Greater Roadrunner,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Aix sponsa,Wood Duck,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Charadrius nivosus,Snowy Plover,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Buteo swainsoni,Swainson's Hawk,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Columba livia,Rock Pigeon,0.9938,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Ixobrychus exilis,Least Bittern,0.0051,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Cardinalis cardinalis,Northern Cardinal,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Bubo virginianus,Great Horned Owl,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Patagioenas fasciata,Band-tailed Pigeon,0.0003,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Geococcyx californianus,Greater Roadrunner,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Nannopterum auritum,Double-crested Cormorant,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Catherpes mexicanus,Canyon Wren,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Lophodytes cucullatus,Hooded Merganser,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Accipiter cooperii,Cooper's Hawk,0.0001,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Hydroprogne caspia,Caspian Tern,0.0000,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Corvus brachyrhynchos,American Crow,0.0000,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Corthylio calendula,Ruby-crowned Kinglet,0.0000,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Anas platyrhynchos,Mallard,0.0000,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Rallus limicola,Virginia Rail,0.0000,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Actitis macularius,Spotted Sandpiper,0.0000,Birdsongs Recordings\4ft\Rock_Pigeon_4ft.wav,34.0522,-118.2437,-1,0.01
