Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0852,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0796,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0392,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Corvus brachyrhynchos,American Crow,0.0142,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0112,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0088,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Anas platyrhynchos,Mallard,0.0083,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Falco columbarius,Merlin,0.0083,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0070,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Charadrius vociferus,Killdeer,0.0040,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Geothlypis trichas,Common Yellowthroat,0.0039,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0038,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Certhia americana,Brown Creeper,0.0038,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0038,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0037,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0031,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Megaceryle alcyon,Belted Kingfisher,0.0031,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0024,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Falco peregrinus,Peregrine Falcon,0.0019,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Buteo lineatus,Red-shouldered Hawk,0.0019,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.9624,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0019,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Rallus limicola,Virginia Rail,0.0016,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Passerculus sandwichensis,Savannah Sparrow,0.0015,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Pooecetes gramineus,Vesper Sparrow,0.0011,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Agelaius phoeniceus,Red-winged Blackbird,0.0010,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0008,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Geothlypis trichas,Common Yellowthroat,0.0006,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Empidonax traillii,Willow Flycatcher,0.0006,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0004,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0004,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Setophaga petechia,Yellow Warbler,0.0003,Birdsongs Recordings\4ft\Song_Sparrow_4ft.wav,34.0522,-118.2437,-1,0.01
