Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Columba livia,Rock Pigeon,0.9875,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Nannopterum auritum,Double-crested Cormorant,0.0067,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sayornis nigricans,Black Phoebe,0.0029,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Ixobrychus exilis,Least Bittern,0.0028,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Catherpes mexicanus,Canyon Wren,0.0025,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Patagioenas fasciata,Band-tailed Pigeon,0.0025,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Geococcyx californianus,Greater Roadrunner,0.0015,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0012,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0008,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0007,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0007,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0006,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0005,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Artemisiospiza belli,Bell's Sparrow,0.0005,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0004,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Meleagris gallopavo,Wild Turkey,0.0004,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0004,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tachycineta bicolor,Tree Swallow,0.0004,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0004,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Eremophila alpestris,Horned Lark,0.0003,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Columba livia,Rock Pigeon,0.9081,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sayornis nigricans,Black Phoebe,0.0683,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Nannopterum auritum,Double-crested Cormorant,0.0090,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Ixobrychus exilis,Least Bittern,0.0080,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Tachycineta thalassina,Violet-green Swallow,0.0043,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Bubo virginianus,Great Horned Owl,0.0029,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Catherpes mexicanus,Canyon Wren,0.0027,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Tachycineta bicolor,Tree Swallow,0.0014,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Eremophila alpestris,Horned Lark,0.0013,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Artemisiospiza belli,Bell's Sparrow,0.0012,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Geococcyx californianus,Greater Roadrunner,0.0012,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.0012,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Corvus brachyrhynchos,American Crow,0.0009,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Auriparus flaviceps,Verdin,0.0008,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Patagioenas fasciata,Band-tailed Pigeon,0.0008,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0007,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.0007,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0006,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0005,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Toxostoma redivivum,California Thrasher,0.0005,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Columba livia,Rock Pigeon,0.7613,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,34.0522,-118.2437,27,0.01
