Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Calypte anna,Anna's Hummingbird,0.7970,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0025,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passerculus sandwichensis,Savannah Sparrow,0.0019,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0009,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0005,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0005,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0005,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cistothorus palustris,Marsh Wren,0.0005,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0004,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0004,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0004,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0004,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0003,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0003,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Calypte costae,Costa's Hummingbird,0.0003,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0002,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0002,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sayornis saya,Say's Phoebe,0.0002,Birdsongs Recordings\24ft\Annas_Hummingbird_24ft.wav,34.0522,-118.2437,27,0.01
