Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.1083,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0009,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0003,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0003,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0002,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0002,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Meleagris gallopavo,Wild Turkey,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Numenius phaeopus,Whimbrel,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Falco peregrinus,Peregrine Falcon,0.0001,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0000,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0000,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tyto alba,Barn Owl,0.0000,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Icteria virens,Yellow-breasted Chat,0.0000,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Quiscalus mexicanus,Great-tailed Grackle,0.0616,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0357,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0316,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates villosus,Hairy Woodpecker,0.0122,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Megaceryle alcyon,Belted Kingfisher,0.0051,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0030,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Chamaea fasciata,Wrentit,0.0025,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melozone crissalis,California Towhee,0.0024,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.0023,Birdsongs Recordings\24ft\Northern_Mockingbird_24ft.wav,34.0522,-118.2437,27,0.01
