Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0374,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0013,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0008,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0004,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tyto alba,Barn Owl,0.0003,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0002,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Columba livia,Rock Pigeon,0.0001,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Artemisiospiza belli,Bell's Sparrow,0.0001,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Megaceryle alcyon,Belted Kingfisher,0.0001,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0001,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Falco peregrinus,Peregrine Falcon,0.0001,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone crissalis,California Towhee,0.0001,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0000,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0000,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Aphelocoma californica,California Scrub-Jay,0.0000,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0000,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0000,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tyrannus verticalis,Western Kingbird,0.0000,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Meleagris gallopavo,Wild Turkey,0.0000,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0000,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.9987,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0028,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0016,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0012,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0008,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melozone crissalis,California Towhee,0.0007,Birdsongs Recordings\24ft\Oak_Titmouse_24ft.wav,34.0522,-118.2437,27,0.01
