Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.8805,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0033,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0011,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Falco peregrinus,Peregrine Falcon,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0007,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Corvus brachyrhynchos,American Crow,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Anas platyrhynchos,Mallard,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Pandion haliaetus,Osprey,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tyto alba,Barn Owl,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Oreortyx pictus,Mountain Quail,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0003,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Ardea herodias,Great Blue Heron,0.0003,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Meleagris gallopavo,Wild Turkey,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Chondestes grammacus,Lark Sparrow,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Tyto alba,Barn Owl,0.0049,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0039,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sitta carolinensis,White-breasted Nuthatch,0.0009,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Anas platyrhynchos,Mallard,0.0009,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Branta canadensis,Canada Goose,0.0009,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Falco peregrinus,Peregrine Falcon,0.0007,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Megaceryle alcyon,Belted Kingfisher,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Cardinalis cardinalis,Northern Cardinal,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates pubescens,Downy Woodpecker,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Hydroprogne caspia,Caspian Tern,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Numenius phaeopus,Whimbrel,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Corvus brachyrhynchos,American Crow,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Passer domesticus,House Sparrow,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Gallinula galeata,Common Gallinule,0.0003,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Ardea herodias,Great Blue Heron,0.0003,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Pandion haliaetus,Osprey,0.0003,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Buteo lineatus,Red-shouldered Hawk,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Pipilo maculatus,Spotted Towhee,0.9325,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Junco hyemalis,Dark-eyed Junco,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Leiothlypis celata,Orange-crowned Warbler,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Piranga ludoviciana,Western Tanager,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Passerina amoena,Lazuli Bunting,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Oreortyx pictus,Mountain Quail,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spizella passerina,Chipping Sparrow,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Sitta carolinensis,White-breasted Nuthatch,0.0002,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Setophaga coronata,Yellow-rumped Warbler,0.0001,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Catharus ustulatus,Swainson's Thrush,0.0001,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Falco peregrinus,Peregrine Falcon,0.0001,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Melozone crissalis,California Towhee,0.0001,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Accipiter cooperii,Cooper's Hawk,0.0001,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Corvus brachyrhynchos,American Crow,0.0001,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Turdus migratorius,American Robin,0.0001,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Melospiza melodia,Song Sparrow,0.0001,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Contopus cooperi,Olive-sided Flycatcher,0.0001,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Tyto alba,Barn Owl,0.0014,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Buteo jamaicensis,Red-tailed Hawk,0.0012,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Accipiter cooperii,Cooper's Hawk,0.0010,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Contopus cooperi,Olive-sided Flycatcher,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Cardinalis cardinalis,Northern Cardinal,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Buteo lineatus,Red-shouldered Hawk,0.0008,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Dryobates villosus,Hairy Woodpecker,0.0007,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Certhia americana,Brown Creeper,0.0007,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Dryobates pubescens,Downy Woodpecker,0.0007,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Bubo virginianus,Great Horned Owl,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Catharus ustulatus,Swainson's Thrush,0.0006,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Megaceryle alcyon,Belted Kingfisher,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Contopus sordidulus,Western Wood-Pewee,0.0005,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Spizella passerina,Chipping Sparrow,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Falco peregrinus,Peregrine Falcon,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Meleagris gallopavo,Wild Turkey,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Columba livia,Rock Pigeon,0.0004,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Pandion haliaetus,Osprey,0.0003,Birdsongs Recordings\24ft\Spotted_Towhee_24ft.wav,34.0522,-118.2437,27,0.01
