Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus migratorius,American Robin,0.1267,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0216,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0053,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0049,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Zenaida macroura,Mourning Dove,0.0047,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0045,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0037,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0026,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0022,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0021,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sturnus vulgaris,European Starling,0.0021,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Setophaga coronata,Yellow-rumped Warbler,0.0019,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0018,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sitta canadensis,Red-breasted Nuthatch,0.0018,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0017,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0017,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Colaptes auratus,Northern Flicker,0.0016,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cistothorus palustris,Marsh Wren,0.0014,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0013,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0013,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Turdus migratorius,American Robin,0.0317,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sturnus vulgaris,European Starling,0.0159,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0137,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Poecile gambeli,Mountain Chickadee,0.0093,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.0092,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Leiothlypis celata,Orange-crowned Warbler,0.0077,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0071,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Passer domesticus,House Sparrow,0.0071,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Piranga ludoviciana,Western Tanager,0.0068,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates pubescens,Downy Woodpecker,0.0065,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Poecile rufescens,Chestnut-backed Chickadee,0.0063,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.0059,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0045,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0044,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Buteo jamaicensis,Red-tailed Hawk,0.0040,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Icterus cucullatus,Hooded Oriole,0.0039,Birdsongs Recordings\36ft\European_Starling_36ft.wav,34.0522,-118.2437,27,0.01
