Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0236,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.0100,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0038,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passerina caerulea,Blue Grosbeak,0.0019,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0015,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Vireo gilvus,Warbling Vireo,0.0014,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.0010,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0008,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Vireo bellii,Bell's Vireo,0.0008,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0008,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0007,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0007,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0007,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tyto alba,Barn Owl,0.0005,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0005,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Corvus corax,Common Raven,0.0005,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0004,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tyrannus verticalis,Western Kingbird,0.0004,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Anas platyrhynchos,Mallard,0.0004,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Falco peregrinus,Peregrine Falcon,0.0004,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Icterus cucullatus,Hooded Oriole,0.3573,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Geothlypis trichas,Common Yellowthroat,0.0071,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0049,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0046,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0036,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Cardinalis cardinalis,Northern Cardinal,0.0032,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sitta carolinensis,White-breasted Nuthatch,0.0029,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Setophaga petechia,Yellow Warbler,0.0026,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates pubescens,Downy Woodpecker,0.0024,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Vireo gilvus,Warbling Vireo,0.0018,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.0018,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Zenaida macroura,Mourning Dove,0.0017,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Tyrannus vociferans,Cassin's Kingbird,0.0014,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0013,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Passer domesticus,House Sparrow,0.0012,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.0011,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Icterus bullockii,Bullock's Oriole,0.0010,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Empidonax traillii,Willow Flycatcher,0.0009,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Icteria virens,Yellow-breasted Chat,0.0008,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0006,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Piranga ludoviciana,Western Tanager,0.6585,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Baeolophus inornatus,Oak Titmouse,0.0116,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Sitta canadensis,Red-breasted Nuthatch,0.0065,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Corvus corax,Common Raven,0.0056,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Poecile gambeli,Mountain Chickadee,0.0049,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Oreortyx pictus,Mountain Quail,0.0032,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Icterus cucullatus,Hooded Oriole,0.0029,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Falco peregrinus,Peregrine Falcon,0.0022,Birdsongs Recordings\48ft\Hooded_Oriole_48ft.wav,34.0522,-118.2437,27,0.01
