Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Passer domesticus,House Sparrow,0.6731,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0044,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0012,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sturnus vulgaris,European Starling,0.0005,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tachycineta bicolor,Tree Swallow,0.0005,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0004,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Campylorhynchus brunneicapillus,Cactus Wren,0.0003,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0003,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone aberti,Abert's Towhee,0.0002,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Zenaida macroura,Mourning Dove,0.0002,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sturnella neglecta,Western Meadowlark,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tyrannus verticalis,Western Kingbird,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Hirundo rustica,Barn Swallow,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Columba livia,Rock Pigeon,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Zenaida asiatica,White-winged Dove,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Streptopelia decaocto,Eurasian Collared-Dove,0.0000,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0000,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Auriparus flaviceps,Verdin,0.0000,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Passer domesticus,House Sparrow,0.6954,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Tachycineta bicolor,Tree Swallow,0.0067,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0025,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Campylorhynchus brunneicapillus,Cactus Wren,0.0022,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Hirundo rustica,Barn Swallow,0.0005,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sturnus vulgaris,European Starling,0.0004,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Auriparus flaviceps,Verdin,0.0003,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melozone aberti,Abert's Towhee,0.0003,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0002,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates pubescens,Downy Woodpecker,0.0002,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Zenaida asiatica,White-winged Dove,0.0002,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Cardinalis cardinalis,Northern Cardinal,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Zenaida macroura,Mourning Dove,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Tyrannus verticalis,Western Kingbird,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Agelaius phoeniceus,Red-winged Blackbird,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Molothrus ater,Brown-headed Cowbird,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Lanius ludovicianus,Loggerhead Shrike,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Turdus migratorius,American Robin,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0001,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Passer domesticus,House Sparrow,0.4291,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Mimus polyglottos,Northern Mockingbird,0.0039,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Tachycineta bicolor,Tree Swallow,0.0035,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Campylorhynchus brunneicapillus,Cactus Wren,0.0021,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Sturnus vulgaris,European Starling,0.0009,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Zenaida macroura,Mourning Dove,0.0005,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Lanius ludovicianus,Loggerhead Shrike,0.0003,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Turdus migratorius,American Robin,0.0003,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Haemorhous mexicanus,House Finch,0.0003,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Cardinalis cardinalis,Northern Cardinal,0.0002,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Auriparus flaviceps,Verdin,0.0002,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Molothrus ater,Brown-headed Cowbird,0.0002,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Zenaida asiatica,White-winged Dove,0.0002,Birdsongs Recordings\4ft\House_Sparrow_4ft.wav,34.0522,-118.2437,27,0.01
