Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Troglodytes aedon,House Wren,0.9954,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cistothorus palustris,Marsh Wren,0.0015,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Contopus sordidulus,Western Wood-Pewee,0.0010,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0005,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus pinus,Pine Siskin,0.0004,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0003,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0002,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0002,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Meleagris gallopavo,Wild Turkey,0.0002,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0002,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Accipiter cooperii,Cooper's Hawk,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Zenaida macroura,Mourning Dove,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Setophaga petechia,Yellow Warbler,0.0001,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.5479,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Cistothorus palustris,Marsh Wren,0.0693,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Vireo bellii,Bell's Vireo,0.0246,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0107,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Geothlypis trichas,Common Yellowthroat,0.0067,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0050,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0049,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0046,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.0033,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Cardellina pusilla,Wilson's Warbler,0.0028,Birdsongs Recordings\4ft\Northern_House_Wren_4ft.wav,34.0522,-118.2437,27,0.01
