Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Selasphorus sasin,Allen's Hummingbird,0.1939,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Selasphorus rufus,Rufous Hummingbird,0.1637,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Calypte costae,Costa's Hummingbird,0.0074,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0050,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Accipiter cooperii,Cooper's Hawk,0.0026,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Certhia americana,Brown Creeper,0.0022,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0018,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0018,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0017,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0016,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0014,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0014,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Contopus cooperi,Olive-sided Flycatcher,0.0014,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0014,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Buteo lineatus,Red-shouldered Hawk,0.0013,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sialia mexicana,Western Bluebird,0.0013,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Megaceryle alcyon,Belted Kingfisher,0.0013,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Corvus brachyrhynchos,American Crow,0.0012,Birdsongs Recordings\4ft\Northern_Yellow_Warbler_4ft.wav,34.0522,-118.2437,27,0.01
