Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Sayornis nigricans,Black Phoebe,0.9982,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Psaltriparus minimus,Bushtit,0.0005,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Chamaea fasciata,Wrentit,0.0003,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Accipiter cooperii,Cooper's Hawk,0.0003,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0002,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone crissalis,California Towhee,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Charadrius vociferus,Killdeer,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Poecile rufescens,Chestnut-backed Chickadee,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates pubescens,Downy Woodpecker,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sayornis nigricans,Black Phoebe,0.9994,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Accipiter cooperii,Cooper's Hawk,0.0005,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Psaltriparus minimus,Bushtit,0.0005,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Chamaea fasciata,Wrentit,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Pyrocephalus rubinus,Vermilion Flycatcher,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Poecile rufescens,Chestnut-backed Chickadee,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Passerina amoena,Lazuli Bunting,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Charadrius vociferus,Killdeer,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Leiothlypis celata,Orange-crowned Warbler,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Contopus sordidulus,Western Wood-Pewee,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus psaltria,Lesser Goldfinch,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates villosus,Hairy Woodpecker,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Cardellina pusilla,Wilson's Warbler,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Sayornis nigricans,Black Phoebe,0.9984,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Calypte anna,Anna's Hummingbird,0.0007,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Psaltriparus minimus,Bushtit,0.0006,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Accipiter cooperii,Cooper's Hawk,0.0002,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus psaltria,Lesser Goldfinch,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Melospiza melodia,Song Sparrow,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Baeolophus inornatus,Oak Titmouse,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Poecile rufescens,Chestnut-backed Chickadee,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus tristis,American Goldfinch,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Melozone crissalis,California Towhee,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Pipilo maculatus,Spotted Towhee,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Auriparus flaviceps,Verdin,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Thryomanes bewickii,Bewick's Wren,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Passerina amoena,Lazuli Bunting,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Junco hyemalis,Dark-eyed Junco,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Selasphorus rufus,Rufous Hummingbird,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Chamaea fasciata,Wrentit,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus pinus,Pine Siskin,0.0000,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Sayornis nigricans,Black Phoebe,0.9996,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Psaltriparus minimus,Bushtit,0.0003,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Spinus psaltria,Lesser Goldfinch,0.0003,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0003,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Charadrius vociferus,Killdeer,0.0003,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Baeolophus inornatus,Oak Titmouse,0.0002,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Accipiter cooperii,Cooper's Hawk,0.0002,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Passerina amoena,Lazuli Bunting,0.0002,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Calypte anna,Anna's Hummingbird,0.0002,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Melozone crissalis,California Towhee,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Quiscalus mexicanus,Great-tailed Grackle,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Melospiza melodia,Song Sparrow,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Chamaea fasciata,Wrentit,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Auriparus flaviceps,Verdin,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Sitta pygmaea,Pygmy Nuthatch,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Melozone aberti,Abert's Towhee,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Poecile rufescens,Chestnut-backed Chickadee,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Contopus sordidulus,Western Wood-Pewee,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Sayornis saya,Say's Phoebe,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0001,Birdsongs Recordings\8ft\Black_Phoebe_8ft.wav,34.0522,-118.2437,27,0.01
