Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Haemorhous mexicanus,House Finch,0.0982,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0364,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Buteo lineatus,Red-shouldered Hawk,0.0104,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.0096,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Aphelocoma californica,California Scrub-Jay,0.0092,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0060,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0058,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0052,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0046,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.0042,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Accipiter cooperii,Cooper's Hawk,0.0033,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0029,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0028,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Lanius ludovicianus,Loggerhead Shrike,0.0024,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0024,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Zenaida asiatica,White-winged Dove,0.0023,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0019,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0019,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus pinus,Pine Siskin,0.0018,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0018,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.9496,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Empidonax traillii,Willow Flycatcher,0.0011,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0010,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Agelaius phoeniceus,Red-winged Blackbird,0.0008,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0006,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Passerculus sandwichensis,Savannah Sparrow,0.0005,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Colaptes auratus,Northern Flicker,0.0004,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0004,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Actitis macularius,Spotted Sandpiper,0.0002,Birdsongs Recordings\8ft\Song_Sparrow_8ft.wav,34.0522,-118.2437,27,0.01
