experiment,file,bird,expected_birdnet_species,distance,active_window_count,expected_detected_active_windows,active_window_detection_rate,mean_top1_prediction,mean_top1_confidence,mean_top2_prediction,mean_top2_confidence,mean_top3_prediction,mean_top3_confidence,mean_correct_top1,mean_correct_top3,mean_correct_top5,mean_expected_rank,max_top1_prediction,max_top1_confidence,max_top2_prediction,max_top2_confidence,max_top3_prediction,max_top3_confidence,max_correct_top1,max_correct_top3,max_correct_top5,max_expected_rank,expected_detected,expected_max_active_window_confidence,expected_mean_active_window_confidence,expected_median_active_window_confidence,window_top1_accuracy,window_top3_accuracy,window_top5_accuracy,status,error,reference_1ft_confidence,confidence_change_from_1ft,confidence_retention_from_1ft
E1_no_metadata,American_Robin_1ft.wav,American Robin,American Robin,1ft,4,4,1.0,American Robin,0.9196,Black-headed Grosbeak,0.033125,Song Thrush,0.016649999999999998,True,True,True,1,American Robin,0.9906,Black-headed Grosbeak,0.1026,Black Thrush,0.0547,True,True,True,1,True,0.9906,0.9196,0.9392499999999999,1.0,1.0,1.0,OK,,0.9196,0.0,1.0
E1_no_metadata,Annas_Hummingbird_1ft.wav,Anna's Hummingbird,Anna's Hummingbird,1ft,4,4,1.0,Anna's Hummingbird,0.94445,Grassland Yellow-Finch,0.029725,Whitehead,0.0094,True,True,True,1,Anna's Hummingbird,0.9953,Grassland Yellow-Finch,0.113,Whitehead,0.0376,True,True,True,1,True,0.9953,0.94445,0.9902500000000001,1.0,1.0,1.0,OK,,0.94445,0.0,1.0
E1_no_metadata,Barn_Swallow_1ft.wav,Barn Swallow,Barn Swallow,1ft,3,3,1.0,Barn Swallow,0.9812333333333333,Greater Angle-wing,0.025599999999999998,Cliff Swallow,0.017333333333333333,True,True,True,1,Barn Swallow,0.9841,Greater Angle-wing,0.0768,Cliff Swallow,0.052,True,True,True,1,True,0.9841,0.9812333333333334,0.981,1.0,1.0,1.0,OK,,0.9812333333333334,0.0,1.0
E1_no_metadata,Bewicks_Wren_1ft.wav,Bewick's Wren,Bewick's Wren,1ft,1,1,1.0,Bewick's Wren,0.8609,Black-throated Sparrow,0.1658,Song Sparrow,0.0579,True,True,True,1,Bewick's Wren,0.8609,Black-throated Sparrow,0.1658,Song Sparrow,0.0579,True,True,True,1,True,0.8609,0.8609,0.8609,1.0,1.0,1.0,OK,,0.8609,0.0,1.0
E1_no_metadata,Black_Phoebe_1ft.wav,Black Phoebe,Black Phoebe,1ft,4,4,1.0,Black Phoebe,0.999725,Eastern Phoebe,0.0007750000000000001,Bushtit,0.000175,True,True,True,1,Black Phoebe,0.9998,Eastern Phoebe,0.0016,Bushtit,0.0005,True,True,True,1,True,0.9998,0.9997250000000001,0.9998,1.0,1.0,1.0,OK,,0.9997250000000001,0.0,1.0
E1_no_metadata,California_Towhee_1ft.wav,California Towhee,California Towhee,1ft,2,2,1.0,California Towhee,0.9981,Abert's Towhee,0.00385,Spotted Towhee,0.00165,True,True,True,1,California Towhee,0.9986,Abert's Towhee,0.0066,Spotted Towhee,0.0019,True,True,True,1,True,0.9986,0.9981,0.9981,1.0,1.0,1.0,OK,,0.9981,0.0,1.0
E1_no_metadata,Dark_eyed_Junco_1ft.wav,Dark-eyed Junco,Dark-eyed Junco,1ft,2,2,1.0,Dark-eyed Junco,0.9764999999999999,Swamp Sparrow,0.1421,Chipping Sparrow,0.06275,True,True,True,1,Dark-eyed Junco,0.9843,Swamp Sparrow,0.2367,Chipping Sparrow,0.104,True,True,True,1,True,0.9843,0.9764999999999999,0.9764999999999999,1.0,1.0,1.0,OK,,0.9764999999999999,0.0,1.0
E1_no_metadata,European_Starling_1ft.wav,European Starling,European Starling,1ft,4,4,1.0,European Starling,0.34175,Rosy Starling,0.09745,Golden-crowned Sparrow,0.0617,True,True,True,1,European Starling,0.7345,Rosy Starling,0.3241,Golden-crowned Sparrow,0.2468,True,True,True,1,True,0.7345,0.344325,0.31625000000000003,0.75,0.75,0.75,OK,,0.344325,0.0,1.0
E1_no_metadata,Hooded_Oriole_1ft.wav,Hooded Oriole,Hooded Oriole,1ft,4,4,1.0,Hooded Oriole,0.755325,Curve-billed Thrasher,0.23695,Western Tanager,0.0856,True,True,True,1,Hooded Oriole,0.8867,Curve-billed Thrasher,0.7731,Western Tanager,0.3424,True,True,True,1,True,0.8867,0.755325,0.7302,0.75,1.0,1.0,OK,,0.755325,0.0,1.0
E1_no_metadata,House_Finch_1ft.wav,House Finch,House Finch,1ft,3,3,1.0,House Finch,0.6496333333333334,Sagebrush Sparrow,0.027866666666666665,Purple Finch,0.017233333333333333,True,True,True,1,House Finch,0.6925,Sagebrush Sparrow,0.0561,Blue Grosbeak,0.032,True,True,True,1,True,0.6925,0.6496333333333334,0.6925,1.0,1.0,1.0,OK,,0.6496333333333334,0.0,1.0
E1_no_metadata,House_Sparrow_1ft.wav,House Sparrow,House Sparrow,1ft,4,4,1.0,House Sparrow,0.5964,Italian Sparrow,0.142475,Spanish Sparrow,0.0412,True,True,True,1,House Sparrow,0.8738,Italian Sparrow,0.2218,Spanish Sparrow,0.1567,True,True,True,1,True,0.8738,0.5964,0.5105500000000001,1.0,1.0,1.0,OK,,0.5964,0.0,1.0
E1_no_metadata,Lesser_Goldfinch_1ft.wav,Lesser Goldfinch,Lesser Goldfinch,1ft,4,4,1.0,American Goldfinch,0.170175,Lesser Goldfinch,0.0554,Collared Sunbird,0.034775,False,True,True,2,American Goldfinch,0.6807,Collared Sunbird,0.1391,Pallas's Leaf Warbler,0.1162,False,False,True,4,True,0.1137,0.06257499999999999,0.06175,0.5,0.5,0.5,OK,,0.06257499999999999,0.0,1.0
E1_no_metadata,Mourning_Dove_1ft.wav,Mourning Dove,Mourning Dove,1ft,3,3,1.0,Mourning Dove,0.7801,Buff-spotted Flufftail,0.020966666666666665,White-tipped Dove,0.016266666666666665,True,True,True,1,Mourning Dove,0.9285,Buff-spotted Flufftail,0.0578,White-tipped Dove,0.0394,True,True,True,1,True,0.9285,0.7801,0.8296,1.0,1.0,1.0,OK,,0.7801,0.0,1.0
E1_no_metadata,Northern_House_Wren_1ft.wav,Northern House Wren,House Wren,1ft,3,3,1.0,House Wren,0.7593666666666667,Marsh Wren,0.04193333333333333,Rufous-crowned Sparrow,0.0268,True,True,True,1,House Wren,0.992,Marsh Wren,0.1221,Rufous-crowned Sparrow,0.0804,True,True,True,1,True,0.992,0.7593666666666667,0.9754,1.0,1.0,1.0,OK,,0.7593666666666667,0.0,1.0
E1_no_metadata,Northern_Mockingbird_1ft.wav,Northern Mockingbird,Northern Mockingbird,1ft,4,3,0.75,Northern Mockingbird,0.3121,Wrentit,0.08715,Jacky-winter,0.052175,True,True,True,1,Northern Mockingbird,0.5772,Wrentit,0.1834,Jacky-winter,0.1155,True,True,True,1,True,0.5772,0.31210000000000004,0.3356,0.75,0.75,0.75,OK,,0.31210000000000004,0.0,1.0
E1_no_metadata,Northern_Yellow_Warbler_1ft.wav,Northern Yellow Warbler,Yellow Warbler,1ft,1,1,1.0,Yellow Warbler,0.9617,American Redstart,0.0107,Willow Flycatcher,0.0077,True,True,True,1,Yellow Warbler,0.9617,American Redstart,0.0107,Willow Flycatcher,0.0077,True,True,True,1,True,0.9617,0.9617,0.9617,1.0,1.0,1.0,OK,,0.9617,0.0,1.0
E1_no_metadata,Oak_Titmouse_1ft.wav,Oak Titmouse,Oak Titmouse,1ft,4,4,1.0,Oak Titmouse,0.9103749999999999,Juniper Titmouse,0.205675,Brown Thrasher,0.044425,True,True,True,1,Oak Titmouse,0.9997,Juniper Titmouse,0.8021,Brown Thrasher,0.1683,True,True,True,1,True,0.9997,0.910375,0.99055,0.75,1.0,1.0,OK,,0.910375,0.0,1.0
E1_no_metadata,Rock_Pigeon_1ft.wav,Rock Pigeon,Rock Pigeon,1ft,3,3,1.0,Rock Pigeon,0.8856333333333334,Black Phoebe,0.060566666666666664,Engine,0.011899999999999999,True,True,True,1,Rock Pigeon,0.9875,Black Phoebe,0.1134,Engine,0.0266,True,True,True,1,True,0.9875,0.8856333333333333,0.9081,1.0,1.0,1.0,OK,,0.8856333333333333,0.0,1.0
E1_no_metadata,Song_Sparrow_1ft.wav,Song Sparrow,Song Sparrow,1ft,1,1,1.0,Song Sparrow,0.9159,Swamp Sparrow,0.0088,Virginia Rail,0.0063,True,True,True,1,Song Sparrow,0.9159,Swamp Sparrow,0.0088,Virginia Rail,0.0063,True,True,True,1,True,0.9159,0.9159,0.9159,1.0,1.0,1.0,OK,,0.9159,0.0,1.0
E1_no_metadata,Spotted_Towhee_1ft.wav,Spotted Towhee,Spotted Towhee,1ft,2,2,1.0,Spotted Towhee,0.9761,Green-tailed Towhee,0.0644,Eastern Towhee,0.01,True,True,True,1,Spotted Towhee,0.9864,Green-tailed Towhee,0.0828,Eastern Towhee,0.014,True,True,True,1,True,0.9864,0.9761,0.9761,1.0,1.0,1.0,OK,,0.9761,0.0,1.0
E1_no_metadata,American_Robin_4ft.wav,American Robin,American Robin,4ft,4,4,1.0,American Robin,0.937825,Black-headed Grosbeak,0.0483,Black Thrush,0.01295,True,True,True,1,American Robin,0.9948,Black-headed Grosbeak,0.1932,Black Thrush,0.0518,True,True,True,1,True,0.9948,0.937825,0.95505,1.0,1.0,1.0,OK,,0.9196,0.018225000000000047,1.0198183993040453
E1_no_metadata,Annas_Hummingbird_4ft.wav,Anna's Hummingbird,Anna's Hummingbird,4ft,4,4,1.0,Anna's Hummingbird,0.995975,Bananaquit,0.0014500000000000001,Rufous Hummingbird,0.001375,True,True,True,1,Anna's Hummingbird,0.9993,Rufous Hummingbird,0.0055,Bananaquit,0.005,True,True,True,1,True,0.9993,0.9959749999999999,0.9959,1.0,1.0,1.0,OK,,0.94445,0.05152499999999993,1.0545555614378739
E1_no_metadata,Barn_Swallow_4ft.wav,Barn Swallow,Barn Swallow,4ft,3,3,1.0,Barn Swallow,0.9994000000000001,Mistle Thrush,0.10213333333333334,Pacific Swallow,0.0299,True,True,True,1,Barn Swallow,0.9996,Mistle Thrush,0.3064,Pacific Swallow,0.0512,True,True,True,1,True,0.9996,0.9994000000000001,0.9995,1.0,1.0,1.0,OK,,0.9812333333333334,0.018166666666666664,1.0185141148894248
E1_no_metadata,Bewicks_Wren_4ft.wav,Bewick's Wren,Bewick's Wren,4ft,1,1,1.0,Bewick's Wren,0.7954,Black-throated Sparrow,0.0923,Song Sparrow,0.0666,True,True,True,1,Bewick's Wren,0.7954,Black-throated Sparrow,0.0923,Song Sparrow,0.0666,True,True,True,1,True,0.7954,0.7954,0.7954,1.0,1.0,1.0,OK,,0.8609,-0.0655,0.9239168312231386
E1_no_metadata,Black_Phoebe_4ft.wav,Black Phoebe,Black Phoebe,4ft,4,4,1.0,Black Phoebe,0.998875,Engine,0.0026,Corn Bunting,0.000725,True,True,True,1,Black Phoebe,0.9997,Engine,0.0089,Corn Bunting,0.0029,True,True,True,1,True,0.9997,0.998875,0.99915,1.0,1.0,1.0,OK,,0.9997250000000001,-0.0008500000000001284,0.999149766185701
E1_no_metadata,California_Towhee_4ft.wav,California Towhee,California Towhee,4ft,2,2,1.0,California Towhee,0.99595,White-throated Towhee,0.0028,Abert's Towhee,0.0015,True,True,True,1,California Towhee,0.9997,White-throated Towhee,0.0056,Abert's Towhee,0.003,True,True,True,1,True,0.9997,0.99595,0.99595,1.0,1.0,1.0,OK,,0.9981,-0.0021499999999999853,0.9978459072237251
E1_no_metadata,Dark_eyed_Junco_4ft.wav,Dark-eyed Junco,Dark-eyed Junco,4ft,2,2,1.0,Dark-eyed Junco,0.9716,Swamp Sparrow,0.08499999999999999,Chipping Sparrow,0.01985,True,True,True,1,Dark-eyed Junco,0.983,Swamp Sparrow,0.097,Chipping Sparrow,0.0205,True,True,True,1,True,0.983,0.9716,0.9716,1.0,1.0,1.0,OK,,0.9764999999999999,-0.004899999999999904,0.9949820788530467
E1_no_metadata,European_Starling_4ft.wav,European Starling,European Starling,4ft,4,4,1.0,European Starling,0.262625,Golden-crowned Sparrow,0.118225,Spotless Starling,0.091975,True,True,True,1,European Starling,0.6804,Golden-crowned Sparrow,0.4729,Black-capped Chickadee,0.2679,True,True,True,1,True,0.6804,0.2636,0.18505000000000002,0.5,0.75,0.75,OK,,0.344325,-0.08072499999999999,0.7655557975749655
E1_no_metadata,Hooded_Oriole_4ft.wav,Hooded Oriole,Hooded Oriole,4ft,4,4,1.0,Hooded Oriole,0.9285249999999999,Western Tanager,0.19455,Curve-billed Thrasher,0.181325,True,True,True,1,Hooded Oriole,0.9994,Western Tanager,0.7782,Curve-billed Thrasher,0.4941,True,True,True,1,True,0.9994,0.928525,0.95705,1.0,1.0,1.0,OK,,0.755325,0.17320000000000002,1.229305265945123
E1_no_metadata,House_Finch_4ft.wav,House Finch,House Finch,4ft,3,3,1.0,House Finch,0.8809333333333335,Purple Finch,0.0229,Townsend's Solitaire,0.012133333333333335,True,True,True,1,House Finch,0.9675,Purple Finch,0.0473,Townsend's Solitaire,0.0364,True,True,True,1,True,0.9675,0.8809333333333335,0.937,1.0,1.0,1.0,OK,,0.6496333333333334,0.23130000000000006,1.356047000872287
E1_no_metadata,House_Sparrow_4ft.wav,House Sparrow,House Sparrow,4ft,4,4,1.0,House Sparrow,0.4852,Italian Sparrow,0.039599999999999996,Jungle Myna,0.013775,True,True,True,1,House Sparrow,0.6954,Italian Sparrow,0.1109,Jungle Myna,0.0551,True,True,True,1,True,0.6954,0.4852,0.5511,1.0,1.0,1.0,OK,,0.5964,-0.11120000000000002,0.8135479543930247
E1_no_metadata,Lesser_Goldfinch_4ft.wav,Lesser Goldfinch,Lesser Goldfinch,4ft,4,4,1.0,Lesser Goldfinch,0.215775,Pallas's Leaf Warbler,0.13624999999999998,American Goldfinch,0.11532500000000001,True,True,True,1,Pallas's Leaf Warbler,0.5406,Collared Sunbird,0.4535,American Goldfinch,0.4459,False,False,True,4,True,0.4046,0.217675,0.22925,0.5,0.75,0.75,OK,,0.06257499999999999,0.15510000000000002,3.4786256492209353
E1_no_metadata,Mourning_Dove_4ft.wav,Mourning Dove,Mourning Dove,4ft,3,3,1.0,Mourning Dove,0.8314666666666666,Buff-spotted Flufftail,0.02766666666666667,White-tipped Dove,0.0271,True,True,True,1,Mourning Dove,0.9449,Buff-spotted Flufftail,0.083,White-tipped Dove,0.0681,True,True,True,1,True,0.9449,0.8314666666666666,0.8717,1.0,1.0,1.0,OK,,0.7801,0.05136666666666656,1.0658462590266204
E1_no_metadata,Northern_House_Wren_4ft.wav,Northern House Wren,House Wren,4ft,3,3,1.0,House Wren,0.8470333333333334,Marsh Wren,0.0236,Connecticut Warbler,0.022466666666666666,True,True,True,1,House Wren,0.9978,Marsh Wren,0.0693,Connecticut Warbler,0.0674,True,True,True,1,True,0.9978,0.8470333333333334,0.9954,1.0,1.0,1.0,OK,,0.7593666666666667,0.08766666666666667,1.115447083095562
E1_no_metadata,Northern_Mockingbird_4ft.wav,Northern Mockingbird,Northern Mockingbird,4ft,4,3,0.75,Northern Mockingbird,0.359625,Brown Thrasher,0.08055,Chinese Blackbird,0.06795,True,True,True,1,Northern Mockingbird,0.8118,Brown Thrasher,0.313,Chalk-browed Mockingbird,0.1514,True,True,True,1,True,0.8118,0.359625,0.31335,0.75,0.75,0.75,OK,,0.31210000000000004,0.04752499999999993,1.1522749118872153
E1_no_metadata,Northern_Yellow_Warbler_4ft.wav,Northern Yellow Warbler,Yellow Warbler,4ft,1,1,1.0,Yellow Warbler,0.9331,American Redstart,0.0306,Chestnut-sided Warbler,0.0075,True,True,True,1,Yellow Warbler,0.9331,American Redstart,0.0306,Chestnut-sided Warbler,0.0075,True,True,True,1,True,0.9331,0.9331,0.9331,1.0,1.0,1.0,OK,,0.9617,-0.02859999999999996,0.9702609961526464
E1_no_metadata,Oak_Titmouse_4ft.wav,Oak Titmouse,Oak Titmouse,4ft,4,4,1.0,Oak Titmouse,0.894675,Juniper Titmouse,0.23299999999999998,Carolina Wren,0.006175,True,True,True,1,Oak Titmouse,0.9989,Juniper Titmouse,0.9185,Carolina Wren,0.0227,True,True,True,1,True,0.9989,0.894675,0.9982,0.75,1.0,1.0,OK,,0.910375,-0.015700000000000047,0.9827543594672524
