experiment,file,source_path,bird,expected_birdnet_species,distance,start_s,end_s,window_duration_s,active_overlap_seconds,active_overlap_fraction,is_active_window,top1_prediction,top1_confidence,top2_prediction,top2_confidence,top3_prediction,top3_confidence,expected_detected,expected_rank,expected_confidence,correct_top1,correct_top3,correct_top5
E1_no_metadata,American_Robin_1ft.wav,Birdsongs Recordings\1ft\American_Robin_1ft.wav,American Robin,American Robin,1ft,0.0,3.0,3.0,2.45,0.8166666666666668,True,American Robin,0.9215,Song Thrush,0.0331,Black-headed Grosbeak,0.0299,True,1.0,0.9215,True,True,True
E1_no_metadata,American_Robin_1ft.wav,Birdsongs Recordings\1ft\American_Robin_1ft.wav,American Robin,American Robin,1ft,3.0,6.0,3.0,1.9000000000000004,0.6333333333333334,True,American Robin,0.9906,Baltimore Oriole,0.0114,Austral Thrush,0.0082,True,1.0,0.9906,True,True,True
E1_no_metadata,American_Robin_1ft.wav,Birdsongs Recordings\1ft\American_Robin_1ft.wav,American Robin,American Robin,1ft,6.0,9.0,3.0,1.4000000000000004,0.4666666666666668,True,American Robin,0.957,Black Thrush,0.0547,Song Thrush,0.0335,True,1.0,0.957,True,True,True
E1_no_metadata,American_Robin_1ft.wav,Birdsongs Recordings\1ft\American_Robin_1ft.wav,American Robin,American Robin,1ft,9.0,10.0,1.0,1.0,1.0,True,American Robin,0.8093,Black-headed Grosbeak,0.1026,Golden Grosbeak,0.0433,True,1.0,0.8093,True,True,True
E1_no_metadata,Annas_Hummingbird_1ft.wav,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,Anna's Hummingbird,Anna's Hummingbird,1ft,0.0,3.0,3.0,1.5,0.5,True,Anna's Hummingbird,0.9936,Bananaquit,0.004,Savannah Sparrow,0.0013,True,1.0,0.9936,True,True,True
E1_no_metadata,Annas_Hummingbird_1ft.wav,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,Anna's Hummingbird,Anna's Hummingbird,1ft,3.0,6.0,3.0,3.0,1.0,True,Anna's Hummingbird,0.9869,River Warbler,0.0099,Black Redstart,0.0074,True,1.0,0.9869,True,True,True
E1_no_metadata,Annas_Hummingbird_1ft.wav,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,Anna's Hummingbird,Anna's Hummingbird,1ft,6.0,9.0,3.0,3.0,1.0,True,Anna's Hummingbird,0.9953,Savannah Sparrow,0.0065,Grassland Yellow-Finch,0.0059,True,1.0,0.9953,True,True,True
E1_no_metadata,Annas_Hummingbird_1ft.wav,Birdsongs Recordings\1ft\Annas_Hummingbird_1ft.wav,Anna's Hummingbird,Anna's Hummingbird,1ft,9.0,10.0,1.0,0.6999999999999993,0.6999999999999993,True,Anna's Hummingbird,0.802,Grassland Yellow-Finch,0.113,Whitehead,0.0376,True,1.0,0.802,True,True,True
E1_no_metadata,Barn_Swallow_1ft.wav,Birdsongs Recordings\1ft\Barn_Swallow_1ft.wav,Barn Swallow,Barn Swallow,1ft,0.0,3.0,3.0,2.7,0.9,True,Barn Swallow,0.981,Greater Angle-wing,0.0768,Grasshopper Sparrow,0.02,True,1.0,0.981,True,True,True
E1_no_metadata,Barn_Swallow_1ft.wav,Birdsongs Recordings\1ft\Barn_Swallow_1ft.wav,Barn Swallow,Barn Swallow,1ft,3.0,6.0,3.0,3.0,1.0,True,Barn Swallow,0.9841,Cliff Swallow,0.052,Red-rumped Swallow,0.0393,True,1.0,0.9841,True,True,True
